date,ordinality,count
1962,0.8548,31
1964,0.9459,37
1966,0.8421,38
1968,0.8409,44
1969,0.7755,49
1970,0.7561,41
1971,0.7857,56
1972,0.9,50
1973,0.9167,48
1974,0.8163,49
1975,0.8822,60
1976,0.8,45
1977,0.8261,69
1978,0.9342,76
1979,0.9,80
1980,0.7939,55
1981,0.9238,75
1982,0.8382,68
1983,0.7848,79
1984,0.8594,64
1985,0.8133,75
1986,0.97,50
1987,0.84,75
1988,0.8718,78
1989,0.7966,59
1990,0.7727,55
1991,0.8942,52
1992,0.822,59
1993,0.875,76
1994,0.9208,101
1995,0.9146,82
1996,0.7561,82
1997,0.8542,48
1998,0.8,55
1999,0.8158,38
2000,0.7692,39
2001,0.8387,31
2002,0.8444,45
2003,0.7703,37
2005,0.9302,43
2006,0.8577,65
2008,0.9061,35
