date,ordinality,count
1929,0.414,31
1930,0.4235,34
1931,0.3553,38
1935,0.3152,46
1936,0.3173,52
1937,0.2556,59
1938,0.2733,63
1939,0.233,54
1940,0.359,65
1941,0.4167,64
1942,0.3,55
1943,0.3841,46
1944,0.4072,44
1945,0.2943,53
1946,0.3743,68
1947,0.3971,81
1948,0.3578,68
1949,0.3041,84
1950,0.2877,88
1951,0.3244,84
1952,0.3752,78
1953,0.2733,75
1954,0.3951,95
1955,0.2693,95
1956,0.3087,88
1957,0.359,87
1958,0.3105,94
1959,0.3022,85
1960,0.3476,132
1961,0.2887,120
1962,0.2928,126
1963,0.3029,137
1964,0.2887,115
1965,0.3591,115
1966,0.2558,126
1967,0.287,133
1968,0.3027,163
1969,0.228,155
1970,0.2663,152
1971,0.2264,180
1972,0.2928,176
1973,0.2572,173
1974,0.3238,178
1975,0.2987,158
1976,0.2727,132
1977,0.2315,158
1978,0.3613,201
1979,0.2454,186
1980,0.2687,208
1981,0.3205,233
1982,0.2498,247
1983,0.262,231
1984,0.2412,196
1985,0.2407,149
1986,0.2745,158
1987,0.2805,172
1988,0.2853,251
1989,0.3347,217
1990,0.3259,173
1991,0.3333,139
1992,0.2375,152
1993,0.2865,201
1994,0.313,288
1995,0.3022,270
1996,0.2941,232
1997,0.2543,172
1998,0.2603,185
1999,0.3642,106
2000,0.3758,68
2001,0.381,91
2002,0.2981,104
2003,0.3719,104
2004,0.295,80
2005,0.3101,126
2006,0.3286,141
2007,0.2205,69
2008,0.3059,88
2009,0.3274,84
2010,0.3694,37
