date,ordinality,count
1939,0.3704,37
1946,0.3268,35
1947,0.4433,36
1948,0.4666,54
1949,0.4497,61
1950,0.3541,71
1951,0.4474,43
1952,0.2463,58
1953,0.3641,55
1954,0.4611,67
1955,0.4808,67
1956,0.3509,47
1957,0.4079,76
1958,0.3479,73
1959,0.4369,95
1960,0.453,131
1961,0.525,144
1962,0.4629,174
1963,0.4428,215
1964,0.45,208
1965,0.4738,236
1966,0.4454,226
1967,0.5298,216
1968,0.4913,248
1969,0.4768,235
1970,0.4698,217
1971,0.5537,272
1972,0.4931,262
1973,0.5208,264
1974,0.5287,257
1975,0.5223,246
1976,0.5467,189
1977,0.519,229
1978,0.5596,228
1979,0.5429,244
1980,0.5454,191
1981,0.5456,246
1982,0.5357,270
1983,0.5982,278
1984,0.5639,248
1985,0.58,219
1986,0.567,191
1987,0.5928,278
1988,0.5414,338
1989,0.5734,280
1990,0.6407,175
1991,0.5694,154
1992,0.6474,182
1993,0.6066,269
1994,0.6194,361
1995,0.5679,321
1996,0.5894,232
1997,0.6089,151
1998,0.5156,155
1999,0.525,98
2000,0.6708,107
2001,0.6514,90
2002,0.6195,150
2003,0.6581,138
2004,0.5999,135
2005,0.6066,191
2006,0.6521,151
2007,0.5646,97
2008,0.6418,91
2009,0.605,71
