date,ordinality,count
1910,0.8048,35
1912,0.9848,33
1914,0.8889,45
1915,0.8682,42
1916,0.9268,41
1917,0.7991,39
1918,0.8857,35
1919,0.9512,41
1920,0.9692,39
1921,0.7455,55
1922,0.825,60
1923,0.8503,34
1924,0.7525,33
1925,0.7684,32
1926,0.7868,34
1927,0.8028,32
1928,0.8378,37
1929,0.8304,56
1930,0.8224,49
1931,0.7568,37
1932,0.8122,45
1933,0.7904,44
1934,0.8232,33
1935,0.878,41
1936,0.8037,36
1937,0.813,57
1938,0.7647,43
1939,0.897,41
1940,0.7766,57
1941,0.8054,49
1942,0.7297,37
1943,0.8131,37
1944,0.8135,42
1945,0.7923,38
1946,0.7178,47
1947,0.7306,43
1948,0.8396,53
1949,0.7275,63
1950,0.8347,50
1951,0.7244,48
1952,0.7846,53
1953,0.7246,59
1954,0.7726,62
1955,0.8051,59
1956,0.7798,56
1957,0.7347,90
1958,0.767,88
1959,0.753,83
1960,0.7654,103
1961,0.7713,128
1962,0.7628,139
1963,0.751,162
1964,0.7169,153
1965,0.7325,160
1966,0.7167,187
1967,0.7515,236
1968,0.7496,216
1969,0.7421,211
1970,0.73,218
1971,0.7017,254
1972,0.6964,278
1973,0.6765,240
1974,0.714,267
1975,0.6985,253
1976,0.7178,221
1977,0.7514,292
1978,0.7177,332
1979,0.6813,284
1980,0.6797,288
1981,0.7043,342
1982,0.7035,332
1983,0.7711,355
1984,0.719,353
1985,0.7052,270
1986,0.7183,307
1987,0.7655,351
1988,0.6951,439
1989,0.7377,374
1990,0.7337,337
1991,0.7364,262
1992,0.7275,274
1993,0.7252,438
1994,0.7019,564
1995,0.7396,507
1996,0.7357,475
1997,0.7689,379
1998,0.7258,432
1999,0.7632,257
2000,0.748,272
2001,0.7825,223
2002,0.7582,270
2003,0.7596,272
2004,0.7617,321
2005,0.7278,454
2006,0.7396,395
2007,0.7553,198
2008,0.7587,255
2009,0.7196,268
2010,0.7584,112
2011,0.7128,47
