date,ordinality,count
1938,0.7344,32
1947,0.9118,34
1948,0.7273,44
1949,0.9293,36
1950,0.8529,34
1951,0.8714,35
1952,0.9677,31
1953,0.9649,38
1954,0.9767,43
1955,0.8879,58
1956,0.9592,49
1957,0.9067,75
1958,0.9167,66
1959,0.8896,82
1960,0.9392,96
1961,0.9479,92
1962,0.9591,107
1963,0.9147,152
1964,0.9114,127
1965,0.8735,172
1966,0.881,183
1967,0.8525,163
1968,0.8755,181
1969,0.9062,189
1970,0.8229,203
1971,0.856,228
1972,0.8752,246
1973,0.8899,286
1974,0.8337,290
1975,0.8477,325
1976,0.8045,314
1977,0.8264,344
1978,0.7834,373
1979,0.7787,309
1980,0.749,362
1981,0.7488,364
1982,0.7096,296
1983,0.6702,320
1984,0.661,291
1985,0.5907,245
1986,0.611,264
1987,0.6308,271
1988,0.6531,353
1989,0.6233,262
1990,0.65,253
1991,0.6531,172
1992,0.6095,247
1993,0.6131,263
1994,0.6835,303
1995,0.6428,302
1996,0.6188,247
1997,0.6238,218
1998,0.6349,218
1999,0.5972,164
2000,0.5757,159
2001,0.6649,150
2002,0.6464,166
2003,0.4934,191
2004,0.6214,164
2005,0.6074,186
2006,0.5888,212
2007,0.621,85
2008,0.54,153
2009,0.5545,138
2010,0.4602,90
2011,0.3868,53
2012,0.2744,41
2013,0.3118,31
