date,ordinality,count
1948,0.4714,35
1951,0.4062,32
1953,0.4868,38
1954,0.4917,40
1956,0.4956,45
1957,0.2938,40
1958,0.3864,44
1959,0.3719,46
1960,0.4255,52
1961,0.3598,75
1962,0.5014,70
1963,0.3749,84
1964,0.5366,72
1965,0.5258,91
1966,0.4495,112
1967,0.4953,102
1968,0.3715,101
1969,0.4053,136
1970,0.4461,133
1971,0.4802,120
1972,0.466,150
1973,0.4689,170
1974,0.461,186
1975,0.5143,206
1976,0.4566,186
1977,0.5103,234
1978,0.5207,230
1979,0.4401,258
1980,0.4514,222
1981,0.4677,292
1982,0.4212,293
1983,0.4547,292
1984,0.4773,284
1985,0.4546,246
1986,0.4809,279
1987,0.4938,304
1988,0.4277,368
1989,0.4662,307
1990,0.495,258
1991,0.4759,264
1992,0.4219,309
1993,0.3711,372
1994,0.4478,525
1995,0.4336,510
1996,0.4393,464
1997,0.4458,364
1998,0.4384,395
1999,0.4249,266
2000,0.3962,258
2001,0.3923,221
2002,0.4859,272
2003,0.4011,273
2004,0.4985,278
2005,0.3883,443
2006,0.4595,389
2007,0.3967,252
2008,0.4523,299
2009,0.4821,219
2010,0.4454,120
2011,0.4281,51
