date,ordinality,count
1856,0.6452,31
1859,0.4553,41
1860,0.6847,37
1876,0.4779,34
1880,0.7152,41
1882,0.601,32
1883,0.6519,45
1884,0.6667,37
1885,0.6214,35
1886,0.5299,34
1887,0.4542,51
1888,0.4127,42
1889,0.6281,61
1890,0.551,56
1891,0.5461,47
1892,0.6212,33
1893,0.6355,38
1894,0.7321,39
1895,0.6702,47
1896,0.7537,60
1897,0.5937,67
1898,0.7285,57
1899,0.6486,92
1900,0.6068,61
1901,0.7669,52
1902,0.6632,58
1903,0.6684,66
1904,0.7102,61
1905,0.6645,55
1906,0.7137,67
1907,0.7714,64
1908,0.5907,54
1909,0.7075,87
1910,0.7906,60
1911,0.7649,63
1912,0.7784,59
1913,0.7025,62
1914,0.7414,70
1915,0.7392,63
1916,0.6756,54
1917,0.7957,39
1918,0.5676,31
1919,0.8136,38
1920,0.6983,45
1921,0.7462,52
1922,0.789,59
1923,0.8004,42
1924,0.7532,45
1925,0.6675,38
1926,0.703,45
1927,0.7175,41
1928,0.7739,57
1929,0.7527,54
1930,0.6795,44
1931,0.6312,43
1932,0.7638,37
1933,0.7049,38
1935,0.7994,37
1936,0.6896,46
1937,0.7421,42
1938,0.8711,44
1939,0.5863,40
1946,0.6705,31
1948,0.7541,37
1949,0.7919,43
1950,0.7744,43
1951,0.7919,31
1952,0.6607,42
1953,0.8333,37
1954,0.7596,40
1955,0.7496,31
1956,0.7247,41
1957,0.7795,41
1958,0.7338,35
1959,0.7522,46
1960,0.8314,43
1961,0.7526,53
1962,0.7791,48
1963,0.8125,52
1964,0.8086,62
1965,0.7978,61
1966,0.7636,85
1967,0.8227,82
1968,0.6846,85
1969,0.8277,74
1970,0.7269,67
1971,0.8616,66
1972,0.8051,68
1973,0.8414,51
1974,0.7176,54
1977,0.8106,33
1978,0.7812,39
1979,0.8121,47
1980,0.8417,40
1981,0.9688,32
1984,0.8106,33
1988,0.8099,35
1989,0.9293,36
1994,0.7969,32
