date,ordinality,count
1962,0.2708,48
1963,0.2703,37
1964,0.4381,35
1965,0.3125,32
1967,0.2963,54
1968,0.3396,53
1969,0.4182,53
1970,0.2317,41
1971,0.3418,59
1972,0.4167,44
1973,0.3913,46
1974,0.4679,39
1977,0.3252,37
1978,0.2766,47
1979,0.4211,38
1981,0.375,40
1982,0.3409,44
1983,0.4479,48
1984,0.3902,41
1986,0.4079,38
1987,0.3333,60
1988,0.4434,99
1989,0.4072,57
1990,0.3537,41
1992,0.5,34
1993,0.3692,65
1994,0.4493,100
1995,0.3832,96
1996,0.3861,60
1997,0.2462,44
1998,0.4113,62
2004,0.2742,31
2005,0.3044,75
2006,0.3662,71
2008,0.3077,52
2009,0.3043,46
