date,ordinality,count
1898,0.4646,33
1899,0.3659,41
1900,0.4042,40
1908,0.4559,34
1944,0.8743,48
1945,0.9479,48
1946,0.9291,55
1947,0.898,49
1948,0.8786,50
1950,0.8919,37
1951,0.8235,34
1952,0.6944,36
1953,0.7024,42
1954,0.8125,32
1955,0.7889,45
1956,0.7962,41
1958,0.73,52
1959,0.7325,38
1960,0.824,48
1961,0.6631,47
1962,0.7935,46
1963,0.6386,44
1964,0.6962,62
1965,0.6636,54
1966,0.8019,53
1967,0.7891,49
1968,0.836,63
1969,0.6389,45
1970,0.7143,77
1971,0.6696,48
1972,0.7364,55
1973,0.7014,48
1974,0.6235,54
1975,0.7826,46
1976,0.6532,31
1977,0.808,46
1978,0.8364,55
1979,0.8143,35
1980,0.95,40
1981,0.6719,57
1982,0.8304,56
1983,0.7653,49
1984,0.8256,43
1985,0.7765,34
1986,0.7923,39
1987,0.7959,49
1988,0.9355,62
1989,0.7515,57
1991,0.6819,35
1992,0.7297,37
1993,0.7536,69
1994,0.8793,87
1995,0.8219,73
1996,0.7914,58
1997,0.7556,45
1998,0.7516,51
1999,0.8456,31
2000,0.899,33
2004,0.8384,33
2005,0.7983,58
2006,0.7344,64
2008,0.878,41
2009,0.819,35
