date,ordinality,count
1800,0.0122,108
1801,0.0328,66
1802,0.0444,72
1803,0.0322,81
1804,0.0329,81
1805,0.008,104
1806,0.0052,97
1807,0.0159,111
1808,0.0234,107
1809,0.0212,111
1810,0.0144,137
1811,0.0322,130
1812,0.0108,146
1813,0.0051,132
1814,0.0234,140
1815,0.0039,142
1816,0.0326,133
1817,0.0017,146
1818,0.0223,157
1819,0.0181,178
1820,0.0172,178
1821,0.0486,160
1822,0.0183,144
1823,0.0165,193
1824,0.0246,214
1825,0.0218,196
1826,0.0277,199
1827,0.0232,179
1828,0.0338,201
1829,0.0142,223
1830,0.0248,255
1831,0.0386,267
1832,0.0165,303
1833,0.0074,290
1834,0.0178,278
1835,0.0154,334
1836,0.0194,311
1837,0.0181,292
1838,0.0261,334
1839,0.0199,424
1840,0.0228,353
1841,0.019,345
1842,0.0383,361
1843,0.0269,372
1844,0.0201,500
1845,0.0231,554
1846,0.0203,581
1847,0.031,561
1848,0.0249,601
1849,0.0244,560
1850,0.0193,645
1851,0.0156,684
1852,0.0211,697
1853,0.0307,864
1854,0.0206,826
1855,0.0143,742
1856,0.0223,854
1857,0.0184,776
1858,0.0211,576
1859,0.0291,901
1860,0.0237,810
1861,0.0263,601
1862,0.0353,501
1863,0.0279,533
1864,0.0405,636
1865,0.0179,592
1866,0.0381,763
1867,0.0237,742
1868,0.0423,832
1869,0.0229,838
1870,0.0316,817
1871,0.0286,792
1872,0.0269,812
1873,0.0298,778
1874,0.022,723
1875,0.0259,820
1876,0.0175,862
1877,0.0229,785
1878,0.0218,795
1879,0.0203,926
1880,0.025,1001
1881,0.0229,939
1882,0.0262,1016
1883,0.0284,1013
1884,0.0176,1119
1885,0.0254,984
1886,0.0258,1040
1887,0.0244,1106
1888,0.024,1120
1889,0.0229,1305
1890,0.0235,1207
1891,0.0273,1209
1892,0.0244,1334
1893,0.0278,1372
1894,0.0274,1218
1895,0.0216,1458
1896,0.0188,1466
1897,0.0205,1379
1898,0.0216,1515
1899,0.0257,1945
1900,0.0229,1814
1901,0.0186,1603
1902,0.0237,1577
1903,0.0176,1724
1904,0.0233,1629
1905,0.0182,1785
1906,0.0204,1725
1907,0.0137,1885
1908,0.0192,1883
1909,0.0203,2022
1910,0.0234,1930
1911,0.0166,1999
1912,0.0143,2199
1913,0.0176,2270
1914,0.0151,2167
1915,0.0179,1916
1916,0.0196,1860
1917,0.0121,1896
1918,0.0131,1648
1919,0.0157,1903
1920,0.0155,2195
1921,0.0173,1928
1922,0.0123,2180
1923,0.0125,1414
1924,0.015,1305
1925,0.0113,1339
1926,0.0142,1287
1927,0.0097,1349
1928,0.0134,1446
1929,0.0124,1515
1930,0.0103,1628
1931,0.0126,1523
1932,0.0118,1487
1933,0.0169,1274
1934,0.0066,1384
1935,0.0075,1480
1936,0.0072,1601
1937,0.01,1734
1938,0.0088,1790
1939,0.0102,1857
1940,0.0091,1790
1941,0.0059,1670
1942,0.0077,1556
1943,0.0109,1374
1944,0.0134,1356
1945,0.0094,1389
1946,0.0092,1732
1947,0.0104,2141
1948,0.0107,2266
1949,0.0092,2499
1950,0.0094,2498
1951,0.0082,2403
1952,0.0091,2521
1953,0.0085,2564
1954,0.005,2584
1955,0.0057,2853
1956,0.0086,2906
1957,0.0094,2976
1958,0.0083,3137
1959,0.0089,3411
1960,0.007,3855
1961,0.0051,4099
1962,0.0072,4512
1963,0.0086,4768
1964,0.0093,4629
1965,0.008,4879
1966,0.0067,5217
1967,0.0073,5470
1968,0.0088,6139
1969,0.0099,5904
1970,0.0077,6127
1971,0.0066,6174
1972,0.0071,6580
1973,0.0071,6775
1974,0.0075,6771
1975,0.0068,6711
1976,0.0065,6009
1977,0.0076,7302
1978,0.0063,7759
1979,0.0046,7546
1980,0.0069,7156
1981,0.0061,7949
1982,0.0058,8267
1983,0.0063,8554
1984,0.0067,8137
1985,0.0062,6687
1986,0.0079,6547
1987,0.0074,8556
1988,0.0064,10140
1989,0.006,8472
1990,0.0068,6267
1991,0.007,5534
1992,0.0073,6298
1993,0.0075,8755
1994,0.0086,11186
1995,0.0066,10437
1996,0.0079,8657
1997,0.0065,6861
1998,0.0086,7442
1999,0.0066,5021
2000,0.0059,4123
2001,0.0075,4141
2002,0.0062,4608
2003,0.0062,4437
2004,0.0061,4504
2005,0.0072,7220
2006,0.0066,6609
2007,0.0084,3335
2008,0.0069,4505
2009,0.0058,3596
2010,0.0036,1413
2011,0.0099,671
2012,0.0056,419
2013,0.0089,341
2014,0.0053,471
2015,0.0052,329
2016,0.0,189
2017,0.0049,255
2018,0.0,111
