date,ordinality,count
1853,1.0,33
1854,1.0,34
1855,1.0,33
1856,1.0,42
1857,1.0,30
1864,1.0,32
1866,1.0,37
1869,1.0,43
1870,1.0,42
1873,1.0,34
1875,0.9706,34
1878,1.0,39
1880,1.0,31
1881,1.0,42
1883,1.0,41
1884,1.0,54
1885,1.0,37
1887,1.0,53
1888,1.0,35
1889,1.0,42
1890,1.0,73
1891,1.0,45
1892,1.0,49
1893,1.0,42
1894,1.0,35
1895,0.98,50
1896,1.0,66
1897,1.0,62
1898,1.0,46
1899,1.0,97
1900,1.0,62
1901,1.0,54
1902,1.0,50
1903,1.0,47
1904,1.0,47
1905,1.0,56
1906,1.0,61
1907,1.0,57
1908,1.0,54
1909,1.0,58
1910,1.0,55
1911,1.0,64
1912,1.0,66
1913,1.0,67
1914,1.0,59
1915,1.0,65
1916,1.0,35
1917,1.0,59
1918,1.0,40
1919,1.0,47
1920,1.0,42
1921,1.0,35
1922,1.0,67
1923,1.0,46
1924,1.0,32
1926,1.0,34
1927,1.0,32
1928,1.0,36
1929,1.0,38
1930,1.0,43
1931,1.0,36
1932,0.9667,30
1934,1.0,34
1936,1.0,30
1938,1.0,44
1939,0.9667,30
1944,0.9722,36
1946,1.0,44
1947,1.0,37
1948,1.0,46
1949,0.9767,43
1950,1.0,61
1951,1.0,35
1952,1.0,59
1953,1.0,31
1954,1.0,30
1956,1.0,46
1957,0.9762,42
1958,0.973,37
1959,1.0,32
1960,1.0,45
1961,1.0,53
1962,1.0,53
1963,1.0,61
1964,1.0,40
1965,1.0,55
1966,1.0,41
1967,0.9808,52
1968,1.0,57
1969,1.0,64
1970,1.0,68
1971,0.9857,70
1972,1.0,61
1973,1.0,50
1974,1.0,68
1975,1.0,59
1976,1.0,46
1977,1.0,54
1978,0.9833,60
1979,1.0,65
1980,1.0,81
1981,1.0,45
1982,1.0,68
1983,1.0,59
1984,1.0,48
1985,1.0,52
1986,1.0,46
1987,1.0,52
1988,0.9841,63
1989,1.0,54
1990,1.0,45
1991,1.0,45
1992,1.0,31
1993,1.0,122
1994,1.0,130
1995,0.9773,88
1996,1.0,52
1998,1.0,43
1999,1.0,33
2005,1.0,61
2006,1.0,41
2008,1.0,37
2009,1.0,30
