date,ordinality,count
1838,0.7688,31
1839,0.625,38
1840,0.6425,38
1844,0.5545,33
1845,0.5687,40
1846,0.5288,52
1847,0.5748,49
1848,0.6793,58
1849,0.5449,52
1850,0.6256,67
1851,0.6195,53
1852,0.6543,64
1853,0.6635,52
1854,0.4599,54
1855,0.4096,54
1856,0.6147,69
1857,0.5093,63
1858,0.6228,57
1859,0.6389,72
1860,0.659,63
1861,0.6667,45
1862,0.5315,37
1863,0.4677,31
1864,0.5569,41
1865,0.5681,60
1866,0.5567,47
1867,0.5536,56
1868,0.622,56
1869,0.6219,67
1870,0.5761,46
1871,0.6193,44
1872,0.537,54
1873,0.4884,43
1874,0.6944,36
1875,0.6009,38
1876,0.6754,57
1877,0.5248,47
1878,0.517,54
1879,0.5372,56
1880,0.587,69
1881,0.6068,78
1882,0.5748,78
1883,0.6689,76
1884,0.5802,81
1885,0.5595,74
1886,0.4747,56
1887,0.625,86
1888,0.5714,84
1889,0.5485,103
1890,0.6095,67
1891,0.5756,78
1892,0.6197,71
1893,0.6039,77
1894,0.6048,70
1895,0.5748,107
1896,0.6998,88
1897,0.6284,74
1898,0.5991,110
1899,0.6279,143
1900,0.554,139
1901,0.6185,90
1902,0.5386,95
1903,0.5986,109
1904,0.6185,83
1905,0.5992,101
1906,0.5087,115
1907,0.5621,109
1908,0.6189,98
1909,0.5,118
1910,0.497,135
1911,0.5479,128
1912,0.6563,159
1913,0.5833,127
1914,0.6394,130
1915,0.5551,124
1916,0.5551,121
1917,0.5558,100
1918,0.6308,93
1919,0.5367,109
1920,0.5562,92
1921,0.5608,88
1922,0.5536,123
1923,0.5057,82
1924,0.4306,60
1925,0.4796,49
1926,0.511,76
1927,0.5293,91
1928,0.509,91
1929,0.5412,95
1930,0.6577,108
1931,0.4947,83
1932,0.4472,82
1933,0.6126,74
1934,0.4849,73
1935,0.4149,96
1936,0.5849,106
1937,0.5108,108
1938,0.5285,101
1939,0.4226,112
1940,0.5109,116
1941,0.5,101
1942,0.4572,92
1943,0.449,82
1944,0.3889,75
1945,0.5484,81
1946,0.4969,109
1947,0.4455,143
1948,0.5103,130
1949,0.49,168
1950,0.5166,127
1951,0.5433,131
1952,0.5372,159
1953,0.4589,153
1954,0.4632,153
1955,0.4787,154
1956,0.4669,150
1957,0.5104,167
1958,0.515,175
1959,0.4434,199
1960,0.5274,211
1961,0.4492,231
1962,0.4824,234
1963,0.5018,218
1964,0.5495,221
1965,0.4878,292
1966,0.4811,256
1967,0.4396,275
1968,0.4744,300
1969,0.5139,315
1970,0.4684,345
1971,0.4437,347
1972,0.4597,429
1973,0.4725,415
1974,0.4538,476
1975,0.4371,485
1976,0.4318,413
1977,0.4511,485
1978,0.435,543
1979,0.4208,560
1980,0.4344,513
1981,0.406,541
1982,0.4134,527
1983,0.4203,579
1984,0.4577,544
1985,0.4865,442
1986,0.4343,475
1987,0.432,557
1988,0.4689,566
1989,0.4824,558
1990,0.451,440
1991,0.4681,380
1992,0.4356,424
1993,0.4734,554
1994,0.4696,711
1995,0.4913,666
1996,0.497,540
1997,0.4634,402
1998,0.4679,454
1999,0.4423,393
2000,0.4499,309
2001,0.4652,345
2002,0.5064,321
2003,0.458,299
2004,0.4747,300
2005,0.4617,402
2006,0.434,330
2007,0.4671,255
2008,0.4298,269
2009,0.4492,217
2010,0.4558,103
2011,0.556,49
