date,ordinality,count
1859,0.8718,39
1869,0.7778,45
1872,0.8727,55
1876,0.697,33
1879,0.5714,49
1880,0.75,44
1882,0.7692,65
1883,0.85,40
1884,0.8293,41
1885,0.6667,36
1888,0.7143,77
1889,0.7222,54
1890,0.6875,48
1892,0.7273,44
1893,0.85,40
1894,0.7333,75
1895,0.8286,35
1896,0.8158,38
1898,0.9231,52
1899,0.6957,46
1900,0.7231,65
1901,0.75,36
1903,0.7869,61
1904,0.6176,68
1905,0.7538,65
1906,0.8,55
1907,0.7455,55
1908,0.7083,48
1909,0.7179,39
1910,0.766,47
1911,0.7955,44
1912,0.7172,99
1913,0.8116,69
1914,0.6707,82
1915,0.5667,150
1916,0.8,85
1917,0.6923,52
1918,0.7273,44
1919,0.8557,97
1921,0.8333,36
1922,0.9286,70
1932,0.8136,59
1935,0.8421,38
1938,0.9302,43
1939,0.5833,36
1948,0.6346,52
1950,0.6774,31
1951,0.7778,36
1954,0.8378,37
1956,0.7692,39
1957,0.7463,67
1958,0.5946,37
1959,0.8936,47
1960,0.7826,46
1961,0.6585,41
1962,0.7708,48
1963,0.7353,34
1964,0.5152,33
1965,0.7551,49
1966,0.6176,34
1967,0.75,32
1968,0.7027,37
1969,0.5926,54
1970,0.3861,101
1971,0.7547,53
1972,0.7111,90
1973,0.6289,97
1974,0.7426,101
1975,0.8169,142
1976,0.6989,93
1977,0.7273,77
1978,0.5873,63
1979,0.6212,66
1980,0.6164,73
1981,0.5795,88
1982,0.7342,79
1983,0.73,100
1984,0.7077,65
1985,0.65,40
1986,0.8364,55
1987,0.7541,61
1988,0.7952,83
1989,0.6709,79
1990,0.6076,79
1991,0.623,61
1992,0.6087,69
1993,0.6744,86
1994,0.596,151
1995,0.67,100
1996,0.7273,77
1997,0.6667,54
1998,0.6812,69
1999,0.6296,54
2000,0.6333,30
2001,0.8125,80
2002,0.5556,45
2003,0.7105,38
2004,0.4808,52
2005,0.7031,64
2006,0.6444,45
2007,0.6078,51
2008,0.4386,57
2011,0.8571,42
