date,ordinality,count
1831,0.8939,33
1833,0.7879,33
1835,0.8438,32
1836,0.8649,37
1838,1.0,47
1839,0.9028,36
1841,0.8947,38
1844,0.95,40
1845,0.7925,53
1846,0.9636,55
1847,0.8922,51
1848,0.8571,49
1849,0.9483,58
1850,0.8828,64
1851,0.9457,46
1852,0.9679,78
1853,0.9638,69
1854,0.9304,79
1855,0.9841,63
1856,0.9506,81
1857,0.9815,54
1858,0.9302,43
1859,0.8984,64
1860,0.9825,57
1861,0.9048,42
1862,0.9474,38
1863,0.8095,35
1864,0.9412,34
1865,0.9231,39
1866,0.8421,38
1867,0.9167,36
1868,0.9362,47
1869,0.9556,45
1870,0.8605,43
1871,0.9619,59
1872,0.9016,61
1873,0.934,53
1875,0.9697,33
1876,0.8679,53
1877,0.8917,40
1878,0.9677,31
1879,0.8841,46
1880,0.9365,63
1881,1.0,41
1882,0.8947,38
1883,0.9535,43
1884,0.8824,51
1885,0.9519,52
1886,0.9697,33
1887,0.9459,37
1888,0.9459,37
1889,0.8667,65
1890,0.9592,49
1891,0.9459,37
1892,0.907,43
1893,0.9216,51
1894,0.9118,34
1895,0.9375,40
1896,0.9681,47
1897,0.9468,47
1898,0.9091,44
1899,0.9381,97
1900,0.9263,95
1901,0.9565,46
1902,0.9362,47
1903,0.92,50
1904,0.8065,31
1905,0.8511,47
1906,0.881,42
1907,0.8396,53
1908,0.9778,45
1909,0.9615,52
1910,0.9091,44
1912,0.9032,31
1913,0.825,40
1969,0.8857,35
1970,0.9677,31
