date,ordinality,count
1968,0.4375,32
1969,0.2692,39
1970,0.2381,35
1972,0.4737,38
1973,0.3571,42
1974,0.3469,49
1975,0.4229,54
1976,0.4523,54
1977,0.4286,78
1978,0.309,74
1979,0.5235,72
1980,0.3907,69
1981,0.422,62
1982,0.4605,70
1983,0.404,70
1984,0.476,52
1985,0.5318,65
1986,0.5603,45
1987,0.4771,51
1988,0.4479,72
1989,0.5254,59
1990,0.4544,48
1991,0.5035,47
1992,0.4094,57
1993,0.3615,65
1994,0.4688,72
1995,0.4712,68
1996,0.4711,49
1997,0.4665,59
1998,0.3953,43
1999,0.3533,46
2000,0.4857,35
2003,0.3889,33
2005,0.4512,41
2006,0.391,39
2008,0.5323,31
