date,ordinality,count
1818,0.0333,30
1823,0.1,30
1825,0.1667,30
1826,0.1935,31
1828,0.0789,38
1829,0.1,30
1831,0.22,50
1832,0.1842,38
1833,0.1957,46
1834,0.1765,34
1835,0.2143,42
1836,0.1818,55
1837,0.119,42
1838,0.1404,57
1839,0.1719,64
1840,0.2581,62
1841,0.2453,53
1842,0.1458,48
1843,0.1176,51
1844,0.1852,54
1845,0.1852,81
1846,0.046,87
1847,0.1071,84
1848,0.1059,85
1849,0.2333,90
1850,0.1031,97
1851,0.1429,98
1852,0.1325,83
1853,0.1711,152
1854,0.2069,116
1855,0.1966,117
1856,0.1301,123
1857,0.1429,105
1858,0.1806,72
1859,0.1908,131
1860,0.1724,116
1861,0.0909,99
1862,0.1455,55
1863,0.2029,69
1864,0.2143,84
1865,0.1389,108
1866,0.1165,103
1867,0.1532,111
1868,0.0625,96
1869,0.1626,123
1870,0.1589,107
1871,0.1961,102
1872,0.0706,85
1873,0.2019,104
1874,0.1667,72
1875,0.1735,98
1876,0.1818,99
1877,0.1264,87
1878,0.2174,92
1879,0.15,100
1880,0.1641,128
1881,0.1746,126
1882,0.1901,121
1883,0.2348,115
1884,0.1875,144
1885,0.1593,182
1886,0.1667,114
1887,0.2522,115
1888,0.1611,149
1889,0.1813,171
1890,0.2336,137
1891,0.1214,140
1892,0.1681,113
1893,0.1509,159
1894,0.1361,147
1895,0.2222,198
1896,0.071,169
1897,0.1429,182
1898,0.2157,153
1899,0.2383,214
1900,0.1629,221
1901,0.1701,194
1902,0.1977,177
1903,0.129,186
1904,0.1333,165
1905,0.2037,162
1906,0.1667,174
1907,0.1726,226
1908,0.1414,198
1909,0.237,211
1910,0.1517,211
1911,0.1562,192
1912,0.195,200
1913,0.1609,230
1914,0.1927,218
1915,0.1538,195
1916,0.1792,173
1917,0.2333,180
1918,0.0662,136
1919,0.1337,202
1920,0.1393,201
1921,0.1343,201
1922,0.1732,179
1923,0.1442,104
1924,0.2045,88
1925,0.14,100
1926,0.191,89
1927,0.1596,94
1928,0.1485,101
1929,0.1263,95
1930,0.1826,115
1931,0.1319,91
1932,0.1667,90
1933,0.2078,77
1934,0.1957,92
1935,0.2254,71
1936,0.1573,89
1937,0.0976,82
1938,0.1111,81
1939,0.1977,86
1940,0.15,120
1941,0.1959,97
1942,0.175,80
1943,0.0946,74
1944,0.2174,69
1945,0.2069,58
1946,0.1461,89
1947,0.1681,119
1948,0.1939,98
1949,0.2059,102
1950,0.1951,123
1951,0.1771,96
1952,0.1,120
1953,0.2759,87
1954,0.2286,105
1955,0.1633,98
1956,0.136,125
1957,0.1212,99
1958,0.21,100
1959,0.2017,119
1960,0.2564,117
1961,0.242,157
1962,0.1133,150
1963,0.18,150
1964,0.1032,126
1965,0.1656,157
1966,0.2446,139
1967,0.2246,138
1968,0.2542,177
1969,0.2978,178
1970,0.2457,175
1971,0.1745,149
1972,0.2036,167
1973,0.1918,146
1974,0.1966,117
1975,0.1846,130
1976,0.1401,157
1977,0.1405,185
1978,0.1593,182
1979,0.1081,185
1980,0.1049,162
1981,0.1391,151
1982,0.1,220
1983,0.1806,144
1984,0.1971,137
1985,0.0811,148
1986,0.1507,146
1987,0.1221,131
1988,0.1456,158
1989,0.2329,146
1990,0.1364,110
1991,0.1818,88
1992,0.1704,135
1993,0.1632,190
1994,0.3095,252
1995,0.1844,244
1996,0.1909,110
1997,0.1961,153
1998,0.2,115
1999,0.1,80
2000,0.25,52
2001,0.2364,55
2002,0.2308,52
2003,0.1579,76
2004,0.1143,70
2005,0.2973,74
2006,0.2469,81
2007,0.1622,37
2008,0.1496,127
2009,0.1892,37
