date,ordinality,count
1824,0.4884,43
1825,0.5676,37
1826,0.6,30
1828,0.7692,39
1829,0.5294,34
1830,0.5667,30
1831,0.7111,45
1833,0.6591,44
1834,0.8056,36
1835,0.7,40
1836,0.6,45
1837,0.6667,51
1838,0.6545,55
1839,0.6964,56
1840,0.6415,53
1841,0.75,56
1842,0.6111,54
1843,0.7193,57
1844,0.7714,70
1845,0.7419,93
1846,0.7024,84
1847,0.6264,91
1848,0.6667,99
1849,0.7778,99
1850,0.719,121
1851,0.7787,122
1852,0.7864,103
1853,0.7375,160
1854,0.6687,160
1855,0.6906,139
1856,0.7143,168
1857,0.6855,124
1858,0.625,88
1859,0.6811,185
1860,0.5522,134
1861,0.6818,88
1862,0.7051,78
1863,0.6316,76
1864,0.7982,114
1865,0.7739,115
1866,0.7203,143
1867,0.7879,99
1868,0.697,132
1869,0.7011,174
1870,0.5318,173
1871,0.6522,138
1872,0.5693,137
1873,0.7214,140
1874,0.6569,137
1875,0.6899,158
1876,0.6723,177
1877,0.6742,132
1878,0.6806,144
1879,0.7425,167
1880,0.6616,198
1881,0.6908,152
1882,0.6619,139
1883,0.7399,173
1884,0.5621,169
1885,0.7151,172
1886,0.6899,158
1887,0.719,153
1888,0.7097,155
1889,0.665,206
1890,0.7053,207
1891,0.7101,169
1892,0.689,164
1893,0.7544,171
1894,0.5956,183
1895,0.6682,217
1896,0.6901,213
1897,0.6971,208
1898,0.702,198
1899,0.6504,349
1900,0.6507,292
1901,0.632,231
1902,0.6626,246
1903,0.5732,239
1904,0.7229,249
1905,0.6996,243
1906,0.6038,313
1907,0.6635,208
1908,0.6561,221
1909,0.7121,257
1910,0.6528,265
1911,0.6897,261
1912,0.6939,245
1913,0.6629,267
1914,0.6557,244
1915,0.5991,227
1916,0.6592,223
1917,0.6881,202
1918,0.7306,193
1919,0.7265,223
1920,0.6699,206
1921,0.5261,230
1922,0.6344,227
1923,0.6864,169
1924,0.7422,128
1925,0.64,125
1926,0.6421,95
1927,0.5678,118
1928,0.6475,122
1929,0.5987,152
1930,0.6575,146
1931,0.5865,133
1932,0.6748,123
1933,0.6589,129
1934,0.633,109
1935,0.6557,122
1936,0.6583,120
1937,0.6825,126
1938,0.6061,132
1939,0.637,135
1940,0.6022,93
1941,0.7222,90
1942,0.4643,84
1943,0.7255,51
1944,0.5579,95
1945,0.5312,64
1946,0.5847,118
1947,0.4831,118
1948,0.5588,136
1949,0.5368,136
1950,0.6,155
1951,0.5733,150
1952,0.5676,148
1953,0.6271,118
1954,0.5769,156
1955,0.5906,127
1956,0.4717,159
1957,0.5682,132
1958,0.4875,160
1959,0.5083,181
1960,0.5759,158
1961,0.587,184
1962,0.5104,192
1963,0.5628,183
1964,0.5375,160
1965,0.516,188
1966,0.5684,190
1967,0.5174,201
1968,0.5907,215
1969,0.632,231
1970,0.6157,255
1971,0.5991,217
1972,0.4595,259
1973,0.5849,212
1974,0.5646,209
1975,0.5477,199
1976,0.3939,198
1977,0.5423,201
1978,0.4225,213
1979,0.6011,188
1980,0.5272,184
1981,0.5145,173
1982,0.4817,218
1983,0.4464,224
1984,0.5222,203
1985,0.5,152
1986,0.52,175
1987,0.4417,206
1988,0.4837,215
1989,0.4428,201
1990,0.6015,133
1991,0.5217,115
1992,0.4493,138
1993,0.4676,355
1994,0.4595,444
1995,0.5333,270
1996,0.4878,164
1997,0.5278,144
1998,0.3929,140
1999,0.4375,112
2000,0.5273,55
2001,0.427,89
2002,0.6133,75
2003,0.4737,76
2004,0.5616,73
2005,0.6349,126
2006,0.6204,108
2007,0.4,50
2008,0.5888,107
2009,0.537,54
