date,ordinality,count
1853,0.0,41
1855,0.0,33
1856,0.0,34
1861,0.0,48
1862,0.0,32
1864,0.0,51
1865,0.0,42
1866,0.0,45
1868,0.0,37
1869,0.0,46
1870,0.0,37
1875,0.0,41
1876,0.0,30
1877,0.0,31
1878,0.0,33
1879,0.0,32
1880,0.0,42
1881,0.0,48
1883,0.0,39
1884,0.0,43
1885,0.0,34
1886,0.0,46
1887,0.0,52
1889,0.0,52
1890,0.0,35
1891,0.0,51
1892,0.0,44
1893,0.0,45
1894,0.0,60
1895,0.0,84
1896,0.0282,71
1897,0.0,61
1898,0.0,75
1899,0.0,102
1900,0.0111,90
1901,0.0,81
1902,0.0,67
1903,0.0,62
1904,0.0,65
1905,0.0,75
1906,0.0,73
1907,0.0,72
1908,0.0092,109
1909,0.0208,96
1910,0.0,94
1911,0.0,101
1912,0.0088,113
1913,0.0,115
1914,0.0,100
1915,0.0,82
1916,0.0,102
1917,0.0,135
1918,0.0,96
1919,0.0,124
1920,0.0,105
1921,0.0102,98
1922,0.0128,156
1923,0.0,57
1924,0.0,66
1925,0.0,41
1926,0.0,53
1927,0.0,79
1928,0.0,51
1929,0.0,60
1930,0.0,50
1931,0.0,32
1932,0.0,50
1933,0.0,43
1934,0.0,51
1935,0.0,48
1936,0.0,59
1937,0.0,60
1938,0.0,57
1939,0.0323,62
1940,0.0,65
1941,0.0,76
1942,0.0,54
1943,0.0161,62
1944,0.0,56
1945,0.0,54
1946,0.0,95
1947,0.0,98
1948,0.0132,76
1949,0.0,90
1950,0.0202,99
1951,0.0,74
1952,0.0145,69
1953,0.0,104
1954,0.0,84
1955,0.0,88
1956,0.0,93
1957,0.0,65
1958,0.0,95
1959,0.0,77
1960,0.022,91
1961,0.011,91
1962,0.011,91
1963,0.0,86
1964,0.0123,81
1965,0.0463,108
1966,0.0,109
1967,0.0115,87
1968,0.0106,94
1969,0.0,90
1970,0.0,99
1971,0.0,78
1972,0.0101,99
1973,0.0119,84
1974,0.011,91
1975,0.0116,86
1976,0.0,117
1977,0.0058,173
1978,0.007,143
1979,0.0,200
1980,0.0081,124
1981,0.0,138
1982,0.0083,120
1983,0.0,103
1984,0.0,94
1985,0.0103,97
1986,0.0244,82
1987,0.0096,104
1988,0.0,148
1989,0.0,84
1990,0.0,63
1991,0.0,69
1992,0.0,71
1993,0.0,170
1994,0.017,176
1995,0.0155,129
1996,0.0,98
1997,0.0,77
1998,0.0253,79
1999,0.0,79
2000,0.0,44
2001,0.0465,43
2002,0.0,35
2003,0.0,63
2004,0.0,47
2005,0.0,66
2006,0.0339,59
2008,0.0,43
