date,ordinality,count
1918,0.4952,35
1919,0.5476,42
1920,0.6486,37
1960,0.7059,34
1963,0.6939,49
1965,0.6857,35
1966,0.7297,37
1967,0.6548,42
1968,0.7447,47
1969,0.7045,44
1970,0.7907,43
1971,0.7556,45
1972,0.6449,46
1973,0.75,40
1974,0.5909,55
1975,0.6786,42
1977,0.6622,37
1978,0.5879,55
1979,0.6633,49
1980,0.6053,38
1981,0.8056,36
1982,0.6364,44
1983,0.7373,59
1984,0.7143,49
1985,0.7778,45
1986,0.7436,39
1987,0.7024,55
1988,0.7456,76
1989,0.5572,57
1990,0.7179,39
1991,0.6875,32
1992,0.6679,40
1993,0.6532,62
1994,0.6701,96
1995,0.6707,104
1996,0.6947,113
1997,0.693,57
1998,0.725,80
2002,0.7,34
2004,0.7625,40
2005,0.75,104
2006,0.5824,87
2007,0.6882,31
2008,0.6638,58
2009,0.5883,50
