date,ordinality,count
1839,0.0,31
1844,0.0,36
1846,0.0,36
1847,0.0333,30
1850,0.0,38
1851,0.0,46
1852,0.0,33
1853,0.0,46
1854,0.0385,52
1855,0.05,40
1856,0.0,38
1857,0.0,46
1858,0.0,31
1859,0.0938,32
1860,0.0606,33
1861,0.0426,47
1862,0.0,33
1864,0.0,30
1866,0.0,37
1868,0.0588,34
1869,0.0222,45
1870,0.0,35
1871,0.0606,33
1872,0.0294,34
1873,0.0,43
1874,0.027,37
1875,0.0526,38
1876,0.0,41
1877,0.0256,39
1878,0.0,49
1879,0.0,49
1880,0.0161,62
1881,0.0,51
1882,0.02,50
1883,0.0,65
1884,0.0154,65
1885,0.0435,46
1886,0.0299,67
1887,0.0345,58
1888,0.0,63
1889,0.0118,85
1890,0.0333,60
1891,0.0192,52
1892,0.0135,74
1893,0.0241,83
1894,0.0127,79
1895,0.0,75
1896,0.0127,79
1897,0.0,69
1898,0.0,61
1899,0.0,99
1900,0.0,70
1901,0.0,63
1902,0.0122,82
1903,0.0,77
1904,0.0,73
1905,0.0,62
1906,0.0,77
1907,0.0395,76
1908,0.0,74
1909,0.0123,81
1910,0.0128,78
1911,0.0423,71
1912,0.0,85
1913,0.0,89
1914,0.0167,60
1915,0.0303,66
1916,0.0154,65
1917,0.0,67
1918,0.0,60
1919,0.0,61
1920,0.0161,62
1921,0.0175,57
1922,0.013,77
1923,0.0233,43
1924,0.0,31
1925,0.0,53
1926,0.0465,43
1927,0.0,39
1928,0.0,56
1929,0.0,34
1930,0.0,45
1931,0.0,35
1932,0.0,34
1935,0.0,33
1936,0.0,40
1937,0.0,40
1938,0.0333,30
1939,0.0,33
1941,0.0,42
1946,0.0,39
1947,0.0,38
1948,0.0,34
1949,0.0222,45
1950,0.0,46
1951,0.0,39
1952,0.0222,45
1953,0.0,45
1954,0.0,52
1955,0.0227,44
1956,0.0,51
1957,0.0,41
1958,0.0,57
1959,0.0,59
1960,0.0,52
1961,0.0312,64
1962,0.0,82
1963,0.0,71
1964,0.0139,72
1965,0.0,75
1966,0.0,84
1967,0.0,95
1968,0.0092,109
1969,0.0,102
1970,0.0,85
1971,0.0,95
1972,0.0,112
1973,0.0111,90
1974,0.0,93
1975,0.0125,80
1976,0.0366,82
1977,0.0,105
1978,0.0,118
1979,0.0,112
1980,0.0,112
1981,0.0102,98
1982,0.0,119
1983,0.011,91
1984,0.0,93
1985,0.0,86
1986,0.0215,93
1987,0.0088,114
1988,0.0,124
1989,0.0,81
1990,0.0,56
1991,0.0125,80
1992,0.0,100
1993,0.0074,136
1994,0.0144,209
1995,0.0,120
1996,0.0,112
1997,0.0,63
1998,0.0,88
1999,0.0,55
2000,0.0,57
2001,0.0145,69
2002,0.0,52
2003,0.0,52
2004,0.0,67
2005,0.0,74
2006,0.0,94
2007,0.0,39
2008,0.0,60
2009,0.0,36
