date,ordinality,count
1956,0.5985,44
1957,0.4803,38
1958,0.6271,43
1959,0.4748,53
1960,0.6173,54
1961,0.5102,49
1962,0.5542,62
1963,0.4241,59
1964,0.5113,48
1965,0.5551,62
1966,0.494,69
1967,0.4788,55
1968,0.526,50
1969,0.5999,50
1970,0.5664,51
1971,0.5131,53
1972,0.6163,58
1973,0.6163,65
1974,0.4112,65
1975,0.4569,41
1976,0.6437,53
1977,0.5626,65
1978,0.4898,57
1979,0.5096,62
1980,0.4937,53
1981,0.4702,84
1982,0.5286,64
1983,0.5427,64
1984,0.5267,69
1985,0.4196,67
1986,0.571,62
1987,0.5732,77
1988,0.5162,91
1989,0.5289,69
1990,0.6162,38
1991,0.4525,44
1992,0.5388,47
1993,0.549,84
1994,0.5905,103
1995,0.498,86
1996,0.586,63
1997,0.4928,50
1998,0.4504,42
2002,0.5,40
2003,0.6111,33
2005,0.5,46
2006,0.5851,32
