date,ordinality,count
1947,0.8281,32
1948,0.8571,42
1949,0.8684,38
1950,0.9615,39
1951,0.7714,35
1952,0.8936,47
1953,0.8684,38
1954,0.9286,42
1955,0.9487,39
1956,0.7647,34
1957,0.8333,39
1958,0.8897,39
1959,0.7692,52
1960,0.8021,48
1961,0.85,40
1962,0.7857,56
1963,0.7742,62
1964,0.8043,46
1965,0.8295,44
1966,0.8824,51
1967,0.8679,53
1968,0.8567,57
1969,0.8043,46
1970,0.8756,47
1971,0.8542,48
1972,0.8429,35
1973,0.9302,43
1974,0.8839,56
1975,0.875,48
1976,0.7829,43
1977,0.8605,43
1978,0.8571,35
1979,0.8049,41
1980,0.9188,48
1981,0.8776,49
1982,0.7333,45
1983,0.7976,42
1984,0.8286,35
1985,0.875,32
1986,0.7083,36
1987,0.75,52
1988,0.7429,35
1989,0.825,40
1992,0.871,31
1993,0.8125,48
1994,0.9189,37
1995,0.7391,46
1996,0.7614,44
