date,ordinality,count
1963,0.4516,31
1964,0.4247,31
1967,0.3108,37
1968,0.425,40
1969,0.2683,41
1970,0.3038,37
1971,0.2444,45
1972,0.3409,44
1973,0.2963,45
1974,0.3242,55
1975,0.2614,44
1976,0.3659,41
1977,0.3083,60
1978,0.4068,59
1979,0.2857,49
1980,0.2733,50
1981,0.4153,72
1982,0.3729,59
1983,0.2239,67
1984,0.3413,63
1985,0.1746,63
1986,0.2544,57
1987,0.2917,60
1988,0.2644,87
1989,0.2643,70
1990,0.2443,58
1991,0.3125,48
1992,0.2917,48
1993,0.3602,93
1994,0.3058,109
1995,0.2664,125
1996,0.1945,109
1997,0.2083,72
1998,0.1647,85
1999,0.2031,64
2000,0.2277,56
2001,0.2412,38
2002,0.14,50
2003,0.2593,54
2004,0.2876,61
2005,0.1667,66
2006,0.2167,60
2008,0.3056,36
