date,ordinality,count
1920,0.8611,36
1927,0.8857,35
1928,0.9167,42
1929,0.9469,40
1930,0.8857,35
1931,0.8955,55
1932,0.8776,49
1933,0.6913,46
1934,0.8667,45
1935,0.7373,59
1936,0.881,63
1937,0.9113,62
1938,0.8679,53
1939,0.7987,77
1940,0.9277,53
1941,0.9018,56
1942,0.8889,63
1943,0.9362,47
1944,0.8039,51
1945,0.8067,50
1946,0.8889,72
1947,0.8771,100
1948,0.8893,121
1949,0.8319,119
1950,0.8475,129
1951,0.9338,102
1952,0.8983,115
1953,0.8172,125
1954,0.8573,146
1955,0.8326,167
1956,0.9032,155
1957,0.8883,167
1958,0.8716,183
1959,0.8814,222
1960,0.9378,217
1961,0.8587,276
1962,0.8822,282
1963,0.8989,280
1964,0.868,278
1965,0.8433,266
1966,0.8628,318
1967,0.8749,299
1968,0.8712,368
1969,0.8838,355
1970,0.8748,418
1971,0.8531,450
1972,0.8546,493
1973,0.8579,455
1974,0.8374,495
1975,0.8657,491
1976,0.8762,474
1977,0.8648,578
1978,0.8542,581
1979,0.8782,654
1980,0.8591,564
1981,0.8701,590
1982,0.8832,628
1983,0.8463,639
1984,0.8594,631
1985,0.8638,547
1986,0.8828,545
1987,0.8675,666
1988,0.8577,778
1989,0.8428,656
1990,0.8708,536
1991,0.8395,451
1992,0.8652,535
1993,0.8592,750
1994,0.8532,918
1995,0.8609,823
1996,0.8367,700
1997,0.8384,556
1998,0.8383,592
1999,0.8408,405
2000,0.8143,365
2001,0.8592,325
2002,0.86,407
2003,0.8839,366
2004,0.8541,390
2005,0.8732,608
2006,0.858,541
2007,0.8777,289
2008,0.8522,369
2009,0.8287,301
2010,0.8987,138
2011,0.8235,51
2012,0.8512,41
2014,0.8857,35
