date,ordinality,count
1947,0.22,35
1948,0.2285,39
1949,0.2098,56
1950,0.2344,56
1951,0.3035,53
1952,0.1971,52
1953,0.2429,73
1954,0.2488,82
1955,0.2662,99
1956,0.279,107
1957,0.3016,114
1958,0.2179,107
1959,0.1895,102
1960,0.1583,139
1961,0.2313,163
1962,0.2139,137
1963,0.1991,162
1964,0.1847,150
1965,0.2044,159
1966,0.2173,175
1967,0.1952,177
1968,0.235,207
1969,0.2211,196
1970,0.2453,248
1971,0.2101,234
1972,0.2792,292
1973,0.2453,318
1974,0.2436,363
1975,0.2365,407
1976,0.2201,437
1977,0.2337,574
1978,0.2221,580
1979,0.2563,581
1980,0.2297,597
1981,0.2302,610
1982,0.2711,586
1983,0.2167,653
1984,0.1822,599
1985,0.2408,458
1986,0.2229,471
1987,0.2192,520
1988,0.241,616
1989,0.2065,504
1990,0.2286,422
1991,0.2336,376
1992,0.2079,388
1993,0.2023,456
1994,0.2391,627
1995,0.2199,654
1996,0.2185,513
1997,0.2655,411
1998,0.2295,443
1999,0.2234,376
2000,0.2021,255
2001,0.1981,275
2002,0.2173,297
2003,0.1905,342
2004,0.236,285
2005,0.2464,386
2006,0.219,367
2007,0.2487,192
2008,0.2129,274
2009,0.244,221
2010,0.208,129
2011,0.2586,87
2012,0.3114,67
2013,0.3784,37
2014,0.2265,34
