date,ordinality,count
1833,0.0,31
1835,0.0,37
1838,0.0,30
1841,0.0,40
1843,0.0,31
1844,0.0,50
1845,0.0,55
1846,0.0,58
1847,0.0,50
1848,0.0,55
1849,0.0,52
1850,0.0143,70
1851,0.0,69
1852,0.0,73
1853,0.0,106
1854,0.0,88
1855,0.0,61
1856,0.0,100
1857,0.0,65
1858,0.0,53
1859,0.0,87
1860,0.0137,73
1861,0.0,57
1862,0.0,79
1863,0.0,47
1864,0.0,56
1865,0.0,64
1866,0.0,74
1867,0.0,76
1868,0.0,88
1869,0.0,104
1870,0.0,93
1871,0.0,90
1872,0.0,98
1873,0.0,82
1874,0.0,109
1875,0.0,79
1876,0.0,94
1877,0.0,89
1878,0.0,85
1879,0.0,101
1880,0.0,142
1881,0.0,87
1882,0.0,152
1883,0.0,116
1884,0.0,102
1885,0.0,99
1886,0.0,125
1887,0.0,132
1888,0.0,114
1889,0.0,194
1890,0.0,154
1891,0.0,144
1892,0.0,184
1893,0.0,131
1894,0.0,145
1895,0.0,185
1896,0.0,174
1897,0.0,143
1898,0.0074,135
1899,0.0,305
1900,0.0,197
1901,0.0,154
1902,0.0,182
1903,0.0,162
1904,0.0,148
1905,0.0,161
1906,0.0,201
1907,0.0,201
1908,0.0,176
1909,0.0,202
1910,0.0,221
1911,0.0,216
1912,0.0,248
1913,0.0,224
1914,0.0,230
1915,0.0051,198
1916,0.0,203
1917,0.0,202
1918,0.0,189
1919,0.0,214
1920,0.0,228
1921,0.0,218
1922,0.0,222
1923,0.0,140
1924,0.0,154
1925,0.0,169
1926,0.0,171
1927,0.0,149
1928,0.0,205
1929,0.0,175
1930,0.0,242
1931,0.0,262
1932,0.0,170
1933,0.0,167
1934,0.0,211
1935,0.0,203
1936,0.0,198
1937,0.0,175
1938,0.0,246
1939,0.0,243
1940,0.0,156
1941,0.0,186
1942,0.0,141
1943,0.0,187
1944,0.0,210
1945,0.0,200
1946,0.0,233
1947,0.0,239
1948,0.0,271
1949,0.0,310
1950,0.0,244
1951,0.0,282
1952,0.0,295
1953,0.0,251
1954,0.0,257
1955,0.0,316
1956,0.0,289
1957,0.0,211
1958,0.0,301
1959,0.0,247
1960,0.0,331
1961,0.003,333
1962,0.0,359
1963,0.0,342
1964,0.0,280
1965,0.0,304
1966,0.0,295
1967,0.0,357
1968,0.0,377
1969,0.0,417
1970,0.0,301
1971,0.0,340
1972,0.0,316
1973,0.0,299
1974,0.0033,307
1975,0.0,258
1976,0.0,271
1977,0.0,363
1978,0.0,378
1979,0.0,384
1980,0.0,352
1981,0.0,461
1982,0.0032,315
1983,0.0,345
1984,0.0,358
1985,0.0,315
1986,0.0,299
1987,0.0028,361
1988,0.0,455
1989,0.0,354
1990,0.0,241
1991,0.0,255
1992,0.0,271
1993,0.0,752
1994,0.0,869
1995,0.0,595
1996,0.0,333
1997,0.0,244
1998,0.0,250
1999,0.0,166
2000,0.0,130
2001,0.0,110
2002,0.0,128
2003,0.0,153
2004,0.0,135
2005,0.0,293
2006,0.0,266
2007,0.0,120
2008,0.0,213
2009,0.0,185
2010,0.0,50
