date,ordinality,count
1893,0.0606,33
1895,0.1143,35
1898,0.0,31
1899,0.0938,32
1900,0.0263,38
1901,0.027,37
1903,0.0312,32
1905,0.1053,38
1906,0.0769,39
1908,0.1935,31
1910,0.1471,34
1911,0.0465,43
1913,0.15,40
1914,0.0,37
1948,0.0237,38
1949,0.1613,31
1950,0.1061,44
1951,0.1471,34
1952,0.125,32
1953,0.0968,31
1954,0.0909,33
1956,0.1429,35
1957,0.0625,32
1958,0.1154,39
1959,0.1375,40
1960,0.141,39
1961,0.0909,44
1962,0.0877,57
1963,0.0661,63
1964,0.0595,42
1965,0.0552,67
1966,0.0656,61
1967,0.0588,68
1968,0.0909,77
1969,0.0309,97
1970,0.1018,113
1971,0.043,93
1972,0.1042,96
1973,0.0694,72
1974,0.0787,89
1975,0.0654,107
1976,0.1566,83
1977,0.0698,86
1978,0.1729,107
1979,0.1053,95
1980,0.0625,96
1981,0.1321,106
1982,0.0952,126
1983,0.0795,130
1984,0.0625,120
1985,0.0996,82
1986,0.1237,97
1987,0.0569,123
1988,0.0656,143
1989,0.1353,129
1990,0.1022,93
1991,0.1238,101
1992,0.0511,90
1993,0.0895,136
1994,0.0882,204
1995,0.1213,188
1996,0.0893,194
1997,0.0664,143
1998,0.0557,157
1999,0.0586,111
2000,0.0772,82
2001,0.098,74
2002,0.0994,88
2003,0.1,80
2004,0.119,84
2005,0.0768,154
2006,0.0479,174
2007,0.0788,91
2008,0.0486,120
2009,0.0337,89
2010,0.04,50
