date,ordinality,count
1848,0.0,36
1851,0.0,45
1853,0.0,44
1854,0.0189,53
1855,0.0,40
1856,0.0,46
1857,0.0,43
1859,0.0,57
1860,0.0,44
1861,0.0,41
1862,0.0,35
1864,0.0,38
1865,0.0,37
1866,0.0,48
1867,0.0,36
1868,0.0,40
1869,0.0,35
1870,0.0,54
1871,0.0,42
1872,0.0,40
1873,0.0,42
1874,0.0,51
1875,0.0,45
1876,0.0,43
1877,0.0,45
1878,0.0,66
1879,0.0,44
1880,0.0,34
1881,0.0,52
1882,0.0,59
1883,0.0,72
1884,0.0,71
1885,0.0,62
1886,0.0,56
1887,0.0,75
1888,0.0,71
1889,0.0,79
1890,0.0,71
1891,0.0,64
1892,0.0,76
1893,0.0,70
1894,0.0,76
1895,0.0,98
1896,0.0,65
1897,0.0,61
1898,0.0,65
1899,0.0263,76
1900,0.0,86
1901,0.0,82
1902,0.0,77
1903,0.0143,70
1904,0.0,88
1905,0.0,105
1906,0.0094,106
1907,0.0,74
1908,0.0,110
1909,0.0,91
1910,0.0,86
1911,0.0,112
1912,0.0,122
1913,0.0088,114
1914,0.0,125
1915,0.0,97
1916,0.0,98
1917,0.0,108
1918,0.0,112
1919,0.0,76
1920,0.0179,112
1921,0.0,102
1922,0.0,136
1923,0.0238,42
1924,0.0,55
1925,0.0,51
1926,0.0,67
1927,0.0303,66
1928,0.0185,54
1929,0.0,67
1930,0.0,75
1931,0.0,65
1932,0.0,52
1933,0.0,40
1934,0.0,48
1935,0.0135,74
1936,0.0,69
1937,0.0,67
1938,0.0,54
1939,0.0,78
1940,0.0,89
1941,0.0,55
1942,0.0,62
1943,0.0,55
1944,0.0,78
1945,0.0,55
1946,0.0149,67
1947,0.0,78
1948,0.0,128
1949,0.0085,117
1950,0.0,76
1951,0.0,173
1952,0.0,85
1953,0.0,96
1954,0.0,78
1955,0.0,90
1956,0.0,94
1957,0.0093,108
1958,0.0,91
1959,0.0,100
1960,0.0,116
1961,0.0,118
1962,0.0,136
1963,0.0083,120
1964,0.0,101
1965,0.0,106
1966,0.0,132
1967,0.0128,156
1968,0.0,177
1969,0.0,165
1970,0.0,135
1971,0.0,156
1972,0.0123,163
1973,0.0074,135
1974,0.0127,157
1975,0.0,170
1976,0.0,155
1977,0.0213,235
1978,0.0,218
1979,0.004,250
1980,0.0,192
1981,0.0,207
1982,0.0049,204
1983,0.0,194
1984,0.0,201
1985,0.0053,188
1986,0.0127,157
1987,0.0,177
1988,0.0099,202
1989,0.0,197
1990,0.0076,131
1991,0.0,119
1992,0.0061,164
1993,0.0028,357
1994,0.0025,406
1995,0.0089,337
1996,0.0,186
1997,0.0,145
1998,0.0053,187
1999,0.0081,124
2000,0.0,114
2001,0.0076,132
2002,0.0078,128
2003,0.0,98
2004,0.0,85
2005,0.0,165
2006,0.0,164
2007,0.0,85
2008,0.0,109
2009,0.0,88
2010,0.0,31
