date,ordinality,count
1956,0.5312,32
1958,0.3805,41
1960,0.519,46
1961,0.547,39
1962,0.4328,67
1963,0.4574,47
1964,0.3864,44
1965,0.4093,56
1966,0.3683,50
1967,0.5285,76
1968,0.512,83
1969,0.4413,61
1970,0.5,68
1971,0.4783,57
1972,0.389,92
1973,0.5,73
1974,0.4472,72
1975,0.5625,104
1976,0.4672,92
1977,0.4253,83
1978,0.4528,82
1979,0.4412,85
1980,0.5574,94
1981,0.5093,90
1982,0.4126,91
1983,0.5094,113
1984,0.4969,106
1985,0.4644,103
1986,0.4893,78
1987,0.5186,94
1988,0.3843,108
1989,0.4553,97
1990,0.3355,77
1991,0.5109,61
1992,0.427,61
1993,0.4584,105
1994,0.5227,140
1995,0.5101,122
1996,0.4887,103
1997,0.4702,84
1998,0.4759,83
1999,0.5231,54
2000,0.369,42
2001,0.4967,51
2002,0.3519,45
2003,0.483,49
2004,0.4682,55
2005,0.4642,73
2006,0.4607,65
2007,0.5108,31
2009,0.6324,34
