date,ordinality,count
1845,0.5417,32
1849,0.6793,33
1850,0.8158,38
1852,0.7907,43
1853,0.7667,35
1854,0.7391,46
1855,0.871,31
1856,0.825,40
1857,0.7286,35
1859,0.8243,37
1860,0.8602,31
1868,0.7031,32
1881,0.7353,34
1882,0.9545,33
1889,0.875,32
1892,0.9,40
1893,0.8333,33
1894,0.7656,32
1895,0.7059,34
1897,0.7973,37
1898,0.8617,47
1899,0.6962,62
1900,0.7436,39
1901,0.7656,32
1902,0.7429,35
1907,0.7317,41
1909,0.6667,36
1910,0.8333,32
1912,0.6774,31
1914,0.7714,35
1970,0.7969,32
1971,0.6163,43
