date,ordinality,count
1809,0.0333,30
1810,0.0,33
1812,0.0,41
1815,0.0,39
1816,0.0,44
1818,0.0,33
1820,0.0,35
1822,0.0,31
1823,0.0,39
1824,0.027,37
1825,0.0,37
1826,0.0,40
1827,0.0,39
1828,0.0189,53
1829,0.0294,34
1830,0.0,44
1831,0.0,59
1832,0.0,66
1833,0.027,74
1834,0.0175,57
1835,0.0,68
1836,0.0179,56
1837,0.0364,55
1838,0.0182,55
1839,0.0,70
1840,0.0182,55
1841,0.0476,84
1842,0.0,75
1843,0.0128,78
1844,0.0,131
1845,0.0,94
1846,0.0,98
1847,0.0076,131
1848,0.049,143
1849,0.0065,155
1850,0.0068,147
1851,0.0199,151
1852,0.0513,156
1853,0.0162,185
1854,0.0183,164
1855,0.0122,164
1856,0.0098,205
1857,0.01,201
1858,0.0,126
1859,0.0182,165
1860,0.0,182
1861,0.0,107
1862,0.0,81
1863,0.0192,104
1864,0.0064,156
1865,0.0,124
1866,0.0059,170
1867,0.0155,129
1868,0.0207,145
1869,0.0,187
1870,0.0072,138
1871,0.0145,138
1872,0.0,128
1873,0.0138,145
1874,0.0,143
1875,0.0241,166
1876,0.0227,220
1877,0.0141,142
1878,0.0072,139
1879,0.005,200
1880,0.0091,219
1881,0.0093,216
1882,0.0448,201
1883,0.022,227
1884,0.027,185
1885,0.0,168
1886,0.0061,164
1887,0.0075,133
1888,0.0097,207
1889,0.0185,271
1890,0.0,222
1891,0.0043,230
1892,0.0145,207
1893,0.0044,227
1894,0.0188,213
1895,0.0043,232
1896,0.0118,254
1897,0.0161,249
1898,0.0,271
1899,0.0047,422
1900,0.013,384
1901,0.0139,288
1902,0.0132,302
1903,0.0034,295
1904,0.0145,276
1905,0.0138,289
1906,0.0164,304
1907,0.0035,284
1908,0.008,249
1909,0.0159,251
1910,0.0122,327
1911,0.0155,258
1912,0.0175,342
1913,0.0283,247
1914,0.0068,296
1915,0.0114,175
1916,0.0171,234
1917,0.0166,302
1918,0.013,230
1919,0.0244,164
1920,0.0181,221
1921,0.016,188
1922,0.0043,232
1923,0.0,135
1924,0.0215,186
1925,0.0251,199
1926,0.0075,133
1927,0.0054,185
1928,0.0123,162
1929,0.0047,213
1930,0.0191,157
1931,0.0064,157
1932,0.0303,132
1933,0.0319,94
1934,0.015,133
1935,0.0139,144
1936,0.0,134
1937,0.0059,170
1938,0.0065,155
1939,0.0351,114
1940,0.0143,140
1941,0.0148,135
1942,0.0,120
1943,0.0,61
1944,0.0,75
1945,0.0085,117
1946,0.0303,99
1947,0.0,113
1948,0.0059,169
1949,0.0068,147
1950,0.0373,241
1951,0.0,91
1952,0.012,166
1953,0.0079,126
1954,0.0183,164
1955,0.01,201
1956,0.0152,198
1957,0.0217,184
1958,0.0066,151
1959,0.0039,255
1960,0.0071,281
1961,0.0,252
1962,0.0057,349
1963,0.0365,274
1964,0.0157,254
1965,0.0137,365
1966,0.041,366
1967,0.0069,291
1968,0.005,402
1969,0.0082,488
1970,0.0025,404
1971,0.0075,401
1972,0.0193,362
1973,0.0143,349
1974,0.0191,366
1975,0.0466,322
1976,0.0137,291
1977,0.0034,290
1978,0.0187,321
1979,0.0063,317
1980,0.0141,284
1981,0.0,294
1982,0.0151,265
1983,0.0115,262
1984,0.0047,211
1985,0.0109,184
1986,0.0306,196
1987,0.0198,354
1988,0.0124,242
1989,0.0159,189
1990,0.0245,163
1991,0.0255,196
1992,0.0262,535
1993,0.0196,869
1994,0.0088,685
1995,0.012,498
1996,0.0128,235
1997,0.0265,264
1998,0.013,307
1999,0.0057,174
2000,0.018,111
2001,0.0254,118
2002,0.012,166
2003,0.0201,149
2004,0.0061,164
2005,0.0116,345
2006,0.0193,207
2007,0.0196,102
2008,0.006,168
2009,0.0161,124
