date,ordinality,count
1856,0.9547,32
1861,1.0,33
1862,0.9062,32
1863,0.9534,46
1864,0.9953,53
1865,1.0,34
1866,0.9824,52
1867,0.9966,54
1868,0.9821,56
1869,1.0,32
1870,0.9874,51
1871,1.0,53
1872,1.0,50
1873,0.9978,42
1874,0.9841,63
1875,0.9907,54
1876,0.994,56
1877,0.9948,64
1878,1.0,38
1879,0.9987,62
1880,0.9643,70
1881,1.0,72
1882,0.9844,64
1883,0.9898,49
1884,1.0,51
1885,0.9886,51
1886,0.9324,53
1887,0.9846,55
1888,0.9839,62
1889,1.0,73
1890,1.0,52
1891,0.9519,65
1892,0.9966,59
1893,1.0,74
1894,0.9978,76
1895,0.9903,80
1896,0.9664,72
1897,1.0,101
1898,1.0,75
1899,0.962,79
1900,0.9886,88
1901,0.9933,99
1902,0.9848,82
1903,0.9972,118
1904,1.0,66
1905,0.9946,99
1906,0.9961,107
1907,0.9911,116
1908,1.0,101
1909,0.9706,111
1910,0.9843,122
1911,0.9772,124
1912,0.9915,117
1913,0.9957,136
1914,0.9793,145
1915,0.9813,128
1916,0.9738,120
1917,0.9975,131
1918,0.9908,109
1919,0.9949,132
1920,0.9817,124
1921,0.9966,145
1922,0.9851,134
1923,0.9708,80
1924,0.9978,77
1925,0.9826,72
1926,0.9791,66
1927,0.9744,68
1928,1.0,77
1929,0.9931,97
1930,0.9993,86
1931,1.0,66
1932,0.9552,64
1933,0.977,87
1934,0.9768,69
1935,0.9865,74
1936,0.9852,90
1937,0.9916,75
1938,0.9671,90
1939,1.0,94
1940,0.9771,102
1941,0.9939,96
1942,0.96,75
1943,0.949,67
1944,0.9798,66
1945,1.0,59
1946,0.9845,69
1947,0.9937,85
1948,0.9989,88
1949,0.9633,109
1950,0.976,92
1951,0.9576,97
1952,0.9844,93
1953,0.9982,92
1954,0.9543,92
1955,0.9745,99
1956,0.9933,75
1957,0.9798,99
1958,0.9521,94
1959,0.9391,104
1960,0.9885,115
1961,0.9823,113
1962,0.9483,116
1963,0.9746,118
1964,0.9367,104
1965,0.9506,100
1966,0.954,125
1967,0.9044,136
1968,0.9204,139
1969,0.9313,133
1970,0.9297,151
1971,0.8789,103
1972,0.8977,141
1973,0.9048,137
1974,0.8947,146
1975,0.874,131
1976,0.8825,148
1977,0.8874,182
1978,0.8436,162
1979,0.8511,188
1980,0.8195,158
1981,0.8309,125
1982,0.8079,157
1983,0.8626,148
1984,0.8424,156
1985,0.8032,107
1986,0.8248,134
1987,0.8406,115
1988,0.7537,166
1989,0.8051,135
1990,0.8003,106
1991,0.8399,109
1992,0.7233,103
1993,0.7717,127
1994,0.7507,145
1995,0.7319,138
1996,0.6729,120
1997,0.7913,115
1998,0.75,124
1999,0.7495,85
2000,0.7919,68
2001,0.765,78
2002,0.759,83
2003,0.8173,78
2004,0.7821,78
2005,0.6992,123
2006,0.7583,75
2007,0.756,42
2008,0.6924,57
2009,0.717,53
