date,ordinality,count
1970,0.3143,35
1971,0.3902,41
1972,0.25,44
1973,0.1944,54
1974,0.3125,40
1975,0.2179,39
1976,0.1176,34
1977,0.2549,51
1978,0.2045,66
1979,0.3233,50
1980,0.3095,63
1981,0.2667,60
1982,0.3244,65
1983,0.4009,49
1984,0.3704,54
1985,0.4286,49
1986,0.5556,54
1987,0.2419,58
1988,0.4703,85
1989,0.3942,63
1990,0.3366,51
1991,0.1739,46
1992,0.4127,50
1993,0.3471,85
1994,0.3372,134
1995,0.4149,123
1996,0.4155,113
1997,0.2937,70
1998,0.3769,111
1999,0.4755,43
2000,0.264,57
2001,0.4268,41
2002,0.4514,48
2003,0.3824,51
2004,0.3068,60
2005,0.4877,81
2006,0.3992,85
2007,0.325,40
2008,0.3571,42
2009,0.2804,46
