date,ordinality,count
1855,0.0,31
1861,0.0968,31
1880,0.1351,37
1881,0.0,34
1883,0.025,40
1889,0.1351,37
1890,0.0968,31
1891,0.0909,33
1895,0.0408,49
1896,0.0938,32
1897,0.0889,45
1898,0.0938,32
1899,0.05,60
1900,0.0952,42
1901,0.0513,39
1902,0.0625,48
1903,0.102,49
1904,0.1136,44
1905,0.066,53
1907,0.08,50
1908,0.1562,32
1909,0.0605,43
1910,0.0745,47
1911,0.0735,34
1912,0.0556,54
1913,0.1064,47
1914,0.1667,39
1915,0.1579,38
1916,0.1395,43
1920,0.125,56
1921,0.0909,33
1922,0.1429,35
1923,0.1176,34
1929,0.1351,37
1940,0.1935,31
1949,0.1176,34
1950,0.0645,31
1956,0.3548,31
1957,0.2059,34
1958,0.2424,33
1959,0.3333,33
1960,0.2353,34
1961,0.1712,37
1962,0.1395,43
1963,0.2553,47
1964,0.1892,37
1965,0.1719,32
1967,0.19,50
1968,0.0789,38
1969,0.1304,46
1970,0.2143,42
1971,0.2593,36
1972,0.1591,44
1973,0.1143,35
1974,0.3243,37
1975,0.4286,35
1976,0.2581,31
1977,0.2925,53
1978,0.1892,37
1979,0.3333,45
1980,0.2857,35
1981,0.5,34
1982,0.3864,44
1983,0.3158,38
1984,0.3385,65
1985,0.4286,42
1986,0.2903,31
1987,0.2619,42
1988,0.2847,48
1989,0.3409,44
1992,0.2105,38
1993,0.2745,34
1994,0.3629,62
1995,0.2931,58
1996,0.3856,51
1997,0.375,32
1998,0.3171,41
2005,0.3254,42
