date,ordinality,count
1826,0.7838,37
1831,0.9355,31
1835,0.4419,43
1836,0.5161,31
1838,0.6216,37
1839,0.7857,42
1840,0.5952,42
1841,0.5849,53
1842,0.7209,43
1843,0.8,40
1844,0.5938,32
1845,0.5974,77
1846,0.6552,58
1847,0.5536,56
1848,0.7719,57
1849,0.7455,55
1850,0.7538,65
1851,0.625,72
1852,0.7895,57
1853,0.7045,88
1854,0.6351,74
1855,0.5577,52
1856,0.6471,85
1857,0.5385,52
1858,0.6226,53
1859,0.6753,77
1860,0.6471,68
1861,0.6512,43
1864,0.7018,57
1865,0.5854,41
1866,0.7941,34
1867,0.62,50
1868,0.5,52
1869,0.7193,57
1870,0.6667,54
1871,0.7761,67
1872,0.7368,57
1873,0.7869,61
1874,0.6441,59
1875,0.8095,42
1876,0.6271,59
1877,0.6111,54
1878,0.6863,51
1879,0.6197,71
1880,0.6429,98
1881,0.5606,66
1882,0.6625,80
1883,0.6471,68
1884,0.6883,77
1885,0.6182,55
1886,0.6094,64
1887,0.6667,69
1888,0.6897,58
1889,0.6566,99
1890,0.5213,94
1891,0.5745,94
1892,0.5128,78
1893,0.6456,79
1894,0.7125,80
1895,0.5714,84
1896,0.642,81
1897,0.6143,70
1898,0.6765,68
1899,0.592,125
1900,0.5426,129
1901,0.7103,107
1902,0.6104,77
1903,0.587,92
1904,0.5618,89
1905,0.6304,92
1906,0.6136,88
1907,0.5333,75
1908,0.6548,84
1909,0.6486,74
1910,0.5044,113
1911,0.5676,74
1912,0.5455,66
1913,0.5812,117
1914,0.68,75
1915,0.6154,78
1916,0.7368,76
1917,0.6607,56
1918,0.7455,55
1919,0.7534,73
1920,0.6471,85
1921,0.6512,86
1922,0.6957,92
1923,0.6393,61
1924,0.6875,48
1925,0.6042,48
1926,0.7037,54
1927,0.5814,43
1928,0.6327,49
1929,0.6066,61
1930,0.75,60
1931,0.7121,66
1932,0.6056,71
1933,0.6579,38
1934,0.6393,61
1935,0.7069,58
1936,0.7857,56
1937,0.7636,55
1938,0.7391,69
1939,0.8367,49
1940,0.717,53
1941,0.7073,41
1942,0.6923,39
1944,0.8286,35
1946,0.6528,72
1947,0.5645,62
1948,0.7,70
1949,0.6809,47
1950,0.5181,83
1951,0.5,46
1952,0.6719,64
1953,0.7586,58
1954,0.614,57
1955,0.6,45
1956,0.6724,58
1957,0.6393,61
1958,0.7273,88
1959,0.7143,63
1960,0.6,95
1961,0.6977,86
1962,0.6698,106
1963,0.713,115
1964,0.7803,132
1965,0.6615,130
1966,0.6417,120
1967,0.7516,153
1968,0.6622,148
1969,0.5492,122
1970,0.7721,136
1971,0.621,124
1972,0.6905,126
1973,0.6495,97
1974,0.6048,124
1975,0.6226,106
1976,0.6829,82
1977,0.6265,83
1978,0.6514,109
1979,0.5909,66
1980,0.6852,54
1981,0.5926,81
1982,0.6629,89
1983,0.7353,102
1984,0.7949,78
1985,0.7561,41
1986,0.4578,83
1987,0.6701,97
1988,0.7455,110
1989,0.7529,85
1990,0.5455,77
1991,0.6875,48
1992,0.5165,91
1993,0.7181,227
1994,0.75,256
1995,0.8169,213
1996,0.604,101
1997,0.7949,78
1998,0.6771,96
2000,0.7667,30
2003,0.6444,45
2004,0.7255,51
2005,0.8079,151
2006,0.7158,95
2007,0.7576,33
2008,0.7375,80
2009,0.7037,54
2010,0.8,30
