date,ordinality,count
1965,0.2727,33
1966,0.1094,32
1967,0.1892,37
1968,0.2051,39
1969,0.1707,41
1970,0.2059,34
1971,0.26,50
1972,0.25,64
1973,0.1636,55
1974,0.1765,51
1975,0.2157,51
1976,0.2065,46
1977,0.256,70
1978,0.2381,63
1979,0.2692,52
1980,0.1923,65
1981,0.2576,55
1982,0.1741,56
1983,0.2536,69
1984,0.1923,52
1985,0.3362,58
1986,0.1321,53
1987,0.1964,56
1988,0.1746,63
1989,0.2308,78
1990,0.14,75
1991,0.102,49
1992,0.2807,57
1993,0.1279,86
1994,0.2093,86
1995,0.1512,86
1996,0.0732,82
1997,0.1325,78
1998,0.2846,65
1999,0.0641,39
2000,0.1962,46
2001,0.2667,45
2002,0.1707,41
2003,0.1333,45
2004,0.225,40
2005,0.1136,44
2006,0.122,41
2008,0.125,40
