date,ordinality,count
1965,0.9419,43
1966,0.9167,36
1967,0.86,50
1968,0.7959,49
1969,0.82,50
1970,0.8882,76
1971,0.8786,103
1972,0.8874,111
1973,0.8984,128
1974,0.8934,122
1975,0.8458,107
1976,0.8916,83
1977,0.8626,131
1978,0.8466,163
1979,0.7835,127
1980,0.8295,129
1981,0.863,146
1982,0.82,125
1983,0.8715,144
1984,0.9262,122
1985,0.8026,114
1986,0.932,103
1987,0.8555,128
1988,0.9254,134
1989,0.8806,134
1990,0.9362,115
1991,0.85,100
1992,0.9056,113
1993,0.8704,135
1994,0.881,168
1995,0.8781,160
1996,0.8606,104
1997,0.8,85
1998,0.885,113
1999,0.8729,59
2000,0.9565,69
2001,0.8636,55
2002,0.8333,60
2003,0.9362,47
2004,0.9194,62
2005,0.8333,60
2006,0.8493,73
2007,0.8364,55
2008,0.8085,47
2009,0.9024,41
