date,ordinality,count
1880,0.6667,42
1883,0.6286,35
1889,0.3581,37
1890,0.4429,35
1893,0.7073,41
1896,0.5484,31
1899,0.4446,65
1900,0.5541,37
1902,0.5429,35
1903,0.6103,34
1904,0.5602,36
1906,0.5758,33
1908,0.5541,37
1909,0.5714,35
1910,0.5714,35
1912,0.5733,35
1913,0.6667,33
1914,0.6162,33
1915,0.6111,36
1928,0.6452,31
1932,0.6774,31
1946,0.5938,32
1948,0.7374,33
1952,0.6216,37
1955,0.5854,41
1956,0.6806,36
1957,0.5595,42
1958,0.6071,42
1959,0.5417,48
1960,0.5648,54
1961,0.597,67
1962,0.5714,56
1963,0.679,81
1964,0.625,64
1965,0.7119,59
1966,0.6393,61
1967,0.6845,84
1968,0.7089,79
1969,0.5833,84
1970,0.7192,73
1971,0.6092,87
1972,0.7289,91
1973,0.6344,93
1974,0.7442,86
1975,0.7222,54
1976,0.6604,53
1977,0.6188,80
1978,0.6818,77
1979,0.6163,86
1980,0.6338,71
1981,0.6538,65
1982,0.6574,90
1983,0.7519,90
1984,0.7317,82
1985,0.7222,54
1986,0.7273,55
1987,0.6386,83
1988,0.5355,94
1989,0.6049,81
1990,0.6308,65
1991,0.76,50
1992,0.6503,61
1993,0.6724,87
1994,0.625,120
1995,0.6321,106
1996,0.5667,105
1997,0.7014,72
1998,0.5962,78
1999,0.7111,45
2001,0.5926,54
2002,0.5273,55
2003,0.4865,37
2004,0.6557,61
2005,0.5573,96
2006,0.5921,76
2007,0.6765,34
2008,0.6207,58
2009,0.6087,46
