date,ordinality,count
1856,0.9667,30
1860,1.0,38
1869,0.9375,32
1876,1.0,31
1884,1.0,31
1886,0.9706,34
1887,0.9714,35
1888,0.9355,31
1890,1.0,30
1891,0.9062,32
1893,0.9697,33
1894,0.9688,32
1895,1.0,44
1897,0.8889,36
1898,1.0,55
1899,0.961,77
1900,0.9828,58
1901,0.9787,47
1902,1.0,49
1903,0.9508,61
1904,1.0,56
1905,1.0,40
1906,0.9762,42
1907,0.9535,43
1908,0.9483,58
1909,0.9556,90
1910,0.9649,57
1911,0.9412,51
1912,0.9483,58
1913,0.9811,53
1914,0.7843,51
1915,0.9762,42
1916,0.7347,49
1917,0.96,50
1918,0.9565,46
1919,0.9583,48
1920,0.9714,35
1921,0.9211,38
1922,0.8478,46
1923,1.0,33
1925,1.0,34
1927,0.9737,38
1928,0.9667,30
1930,0.9024,41
1931,0.9062,32
1935,0.8919,37
1936,0.9524,42
1938,0.9545,44
1939,0.9333,45
1940,0.9333,45
1941,0.9189,37
1942,0.9767,43
1943,0.8684,38
1946,0.9149,47
1947,0.9375,48
1948,0.9535,43
1949,0.9298,57
1950,0.8298,47
1951,0.9,30
1952,0.8929,56
1953,0.9787,47
1954,1.0,47
1955,0.9038,52
1956,0.8824,34
1957,0.9091,33
1958,0.96,50
1959,0.9688,64
1960,0.98,50
1961,0.931,58
1962,0.9636,55
1963,0.8846,52
1964,0.9062,64
1965,0.9268,41
1966,0.9271,96
1967,0.8871,62
1968,0.8971,68
1969,0.9268,82
1970,0.9545,66
1971,0.9114,79
1972,0.962,79
1973,0.9342,76
1974,0.9429,70
1975,0.9107,56
1976,0.9143,70
1977,0.942,69
1978,0.8989,89
1979,0.9487,78
1980,0.8904,73
1981,0.9651,86
1982,0.907,86
1983,0.8831,77
1984,0.8235,68
1985,0.9683,63
1986,0.8909,55
1987,0.942,69
1988,0.9067,75
1989,0.9265,68
1990,0.9623,53
1991,0.898,98
1992,0.8533,75
1993,0.8425,127
1994,0.9351,185
1995,0.9032,124
1996,0.823,113
1997,0.8983,59
1998,0.9412,68
1999,0.907,43
2000,0.8333,42
2002,0.8462,39
2004,0.8636,44
2005,0.8551,69
2006,0.9231,78
2007,0.8919,37
2008,0.9048,63
