date,ordinality,count
1846,0.1774,31
1849,0.2097,31
1850,0.1927,32
1851,0.0965,38
1852,0.2037,36
1853,0.1579,38
1854,0.1667,32
1856,0.1613,31
1857,0.2105,38
1859,0.3438,32
1880,0.25,40
1883,0.2941,34
1884,0.2162,37
1888,0.4394,33
1889,0.2941,34
1890,0.3205,39
1891,0.4118,34
1892,0.303,33
1893,0.1714,35
1894,0.2571,35
1895,0.4032,31
1896,0.3409,44
1899,0.3333,69
1900,0.3158,57
1902,0.2927,41
1903,0.25,34
1904,0.3415,41
1905,0.2432,37
1906,0.2353,34
1907,0.3575,40
1908,0.303,33
1909,0.2453,53
1911,0.4421,35
1913,0.3448,34
1915,0.3529,34
