date,ordinality,count
1829,0.5,30
1831,0.55,40
1832,0.4474,38
1833,0.4706,34
1834,0.3939,33
1835,0.2973,37
1836,0.6389,36
1837,0.4062,32
1838,0.4062,32
1839,0.3889,36
1840,0.3438,32
1841,0.4359,39
1842,0.4255,47
1843,0.2692,52
1844,0.3913,46
1845,0.6078,51
1846,0.4762,63
1847,0.434,53
1848,0.4,75
1849,0.3898,59
1850,0.425,80
1851,0.36,75
1852,0.378,82
1853,0.3889,90
1854,0.4625,80
1855,0.4842,95
1856,0.3452,84
1857,0.3924,79
1858,0.431,58
1859,0.3721,86
1860,0.5125,80
1861,0.3929,56
1862,0.1944,36
1863,0.3111,45
1864,0.25,36
1865,0.3725,51
1866,0.2836,67
1867,0.4444,45
1868,0.4118,68
1869,0.4366,71
1870,0.3,50
1871,0.3621,58
1872,0.3137,51
1873,0.403,67
1874,0.4286,49
1875,0.3585,53
1876,0.3333,39
1877,0.3269,52
1878,0.2979,47
1879,0.3077,52
1880,0.3175,63
1881,0.4483,58
1882,0.2727,55
1883,0.4727,55
1884,0.3651,63
1885,0.5,58
1886,0.4902,51
1887,0.4118,51
1888,0.4219,64
1889,0.2881,59
1890,0.4754,61
1891,0.3333,51
1892,0.3816,76
1893,0.3871,62
1894,0.3898,59
1895,0.3333,54
1896,0.3846,52
1897,0.3279,61
1898,0.4557,79
1899,0.4675,77
1900,0.4561,57
1901,0.375,56
1902,0.4324,74
1903,0.3684,57
1904,0.4143,70
1905,0.4167,48
1906,0.3191,47
1907,0.3692,65
1908,0.2714,70
1909,0.3455,55
1910,0.5,68
1911,0.4222,45
1912,0.3077,52
1913,0.3542,48
1914,0.4182,55
1915,0.5306,49
1916,0.3333,42
1919,0.3077,39
1920,0.5,44
1921,0.4103,39
1922,0.3143,35
1923,0.3,30
1927,0.3125,32
1928,0.375,40
1936,0.4211,38
1937,0.4375,32
1955,0.6571,35
1962,0.3684,38
1965,0.3421,38
1967,0.4865,37
1968,0.3889,36
1969,0.3696,46
1970,0.3864,44
1971,0.3548,31
1972,0.4222,45
1973,0.5417,48
1974,0.3947,38
1977,0.36,50
1978,0.3,30
1981,0.5429,35
1982,0.5,32
1984,0.2667,30
1988,0.5667,30
1993,0.5,56
1994,0.3,50
1995,0.2812,32
