date,ordinality,count
1949,0.1437,32
1952,0.0968,31
1953,0.1031,38
1954,0.1518,56
1955,0.1565,49
1956,0.1134,36
1957,0.1522,56
1958,0.1509,59
1959,0.1397,68
1960,0.1608,74
1961,0.1687,81
1962,0.241,105
1963,0.1,90
1964,0.1792,112
1965,0.1339,122
1966,0.1692,132
1967,0.1393,122
1968,0.1376,129
1969,0.1629,132
1970,0.0995,144
1971,0.148,176
1972,0.1491,161
1973,0.0969,177
1974,0.1341,184
1975,0.1349,192
1976,0.1171,141
1977,0.0757,182
1978,0.0876,175
1979,0.094,156
1980,0.1135,160
1981,0.1433,196
1982,0.1504,174
1983,0.1368,172
1984,0.1634,154
1985,0.1863,148
1986,0.1054,136
1987,0.1039,170
1988,0.1284,203
1989,0.1469,169
1990,0.1284,135
1991,0.1411,130
1992,0.1465,158
1993,0.1486,212
1994,0.1168,261
1995,0.1488,199
1996,0.1592,192
1997,0.1626,124
1998,0.1277,137
1999,0.1523,81
2000,0.1558,92
2001,0.1118,76
2002,0.1544,68
2003,0.1419,74
2004,0.0909,66
2005,0.1547,106
2006,0.1963,107
2007,0.0875,40
2008,0.1217,50
2009,0.0968,31
