date,ordinality,count
1848,0.625,32
1853,0.7424,33
1854,0.7875,40
1856,0.7683,41
1860,0.75,34
1869,0.6486,37
1870,0.6774,31
1876,0.7206,34
1879,0.6774,31
1882,0.6562,32
1883,0.641,39
1885,0.6458,32
1889,0.6977,43
1890,0.75,32
1893,0.6512,43
1896,0.7286,35
1897,0.6316,38
1898,0.7683,41
1899,0.7059,68
1900,0.5882,51
1901,0.8578,34
1902,0.6719,32
1903,0.7698,42
1904,0.6937,40
1905,0.5303,33
1906,0.6423,41
1907,0.6033,46
1908,0.7396,48
1909,0.72,50
1910,0.7449,49
1911,0.7561,41
1912,0.7561,41
1913,0.6857,35
1914,0.7897,42
1915,0.5862,58
1916,0.7703,37
1917,0.9189,37
1918,0.6712,37
1919,0.7324,37
1920,0.8182,33
1922,0.6306,37
1926,0.8226,31
1929,0.9143,35
1930,0.6406,32
1934,0.7266,32
1935,0.6732,41
1936,0.8387,31
1937,0.7632,38
1938,0.6613,31
1939,0.7361,36
1949,0.7525,40
1950,0.7708,36
1954,0.8324,34
1955,0.6912,34
1956,0.6685,46
1957,0.7805,41
1958,0.8123,50
1959,0.6222,45
1960,0.7908,51
1961,0.7644,50
1962,0.6682,54
1963,0.7678,61
1964,0.7448,70
1965,0.7526,64
1966,0.7488,67
1967,0.6687,80
1968,0.7306,86
1969,0.6996,83
1970,0.8169,65
1971,0.693,79
1972,0.6952,76
1973,0.7288,74
1974,0.7205,65
1975,0.6936,53
1977,0.7083,36
1978,0.6396,37
1979,0.7,50
1980,0.7174,46
1981,0.8409,44
1982,0.7763,38
1983,0.74,50
1984,0.7647,34
1986,0.6667,33
1987,0.7889,45
1988,0.6587,42
1989,0.8065,31
1990,0.7031,32
1993,0.75,32
1994,0.7411,56
1995,0.7355,46
1996,0.8902,41
1998,0.613,46
2005,0.71,50
2006,0.8457,35
2008,0.7714,35
