date,ordinality,count
1837,0.6548,31
1838,0.7965,34
1839,0.8023,43
1840,0.8145,31
1841,0.7677,39
1842,0.7728,35
1843,0.8257,37
1844,0.7269,60
1845,0.7705,66
1846,0.7867,50
1847,0.811,56
1848,0.6893,51
1849,0.7871,83
1850,0.7575,78
1851,0.6821,78
1852,0.8202,70
1853,0.7123,73
1854,0.7567,87
1855,0.7441,90
1856,0.7785,87
1857,0.8152,95
1858,0.7744,85
1859,0.7763,112
1860,0.7341,92
1861,0.8543,54
1862,0.8023,65
1863,0.7202,59
1864,0.7213,61
1865,0.7913,63
1866,0.7426,70
1867,0.7491,94
1868,0.7683,88
1869,0.7374,102
1870,0.7272,91
1871,0.7421,74
1872,0.6646,79
1873,0.716,103
1874,0.7119,75
1875,0.7591,93
1876,0.6946,86
1877,0.6532,106
1878,0.7291,103
1879,0.667,79
1880,0.6473,92
1881,0.7317,101
1882,0.6621,92
1883,0.7363,91
1884,0.7292,104
1885,0.7185,121
1886,0.6833,86
1887,0.7151,117
1888,0.7278,105
1889,0.6578,141
1890,0.7395,117
1891,0.6297,107
1892,0.7394,118
1893,0.6793,110
1894,0.7384,134
1895,0.6881,122
1896,0.8118,116
1897,0.7628,135
1898,0.6744,148
1899,0.6799,194
1900,0.6688,169
1901,0.6808,163
1902,0.7319,163
1903,0.6901,143
1904,0.7205,145
1905,0.6615,128
1906,0.7428,155
1907,0.6885,176
1908,0.7173,171
1909,0.6881,183
1910,0.7158,163
1911,0.6076,143
1912,0.7377,173
1913,0.7288,173
1914,0.7422,169
1915,0.6724,125
1916,0.75,148
1917,0.6549,145
1918,0.7492,105
1919,0.7474,106
1920,0.7156,145
1921,0.6365,108
1922,0.6424,166
1923,0.7182,110
1924,0.7034,109
1925,0.7179,106
1926,0.6884,101
1927,0.7997,104
1928,0.7388,82
1929,0.755,100
1930,0.6816,106
1931,0.7654,102
1932,0.6895,94
1933,0.7407,82
1934,0.6804,85
1935,0.6715,115
1936,0.7374,117
1937,0.738,120
1938,0.772,113
1939,0.7821,109
1940,0.6828,96
1941,0.699,94
1942,0.7157,80
1943,0.7203,84
1944,0.7143,63
1945,0.6604,80
1946,0.7446,106
1947,0.7552,138
1948,0.8251,129
1949,0.7308,172
1950,0.7389,121
1951,0.6395,131
1952,0.7392,126
1953,0.7749,131
1954,0.7528,132
1955,0.7709,122
1956,0.7485,142
1957,0.7027,121
1958,0.7263,138
1959,0.7466,144
1960,0.7025,144
1961,0.7293,172
1962,0.7329,155
1963,0.7373,154
1964,0.7726,157
1965,0.7466,174
1966,0.6776,161
1967,0.7177,217
1968,0.7254,196
1969,0.706,202
1970,0.7143,202
1971,0.7441,179
1972,0.7106,223
1973,0.7301,221
1974,0.7073,179
1975,0.7162,158
1976,0.7803,142
1977,0.7596,178
1978,0.759,194
1979,0.7478,182
1980,0.7301,157
1981,0.7891,183
1982,0.6528,200
1983,0.7397,201
1984,0.7178,176
1985,0.7806,158
1986,0.7092,159
1987,0.6845,235
1988,0.7251,233
1989,0.7504,198
1990,0.6911,122
1991,0.7147,157
1992,0.6608,131
1993,0.6896,259
1994,0.7343,281
1995,0.7061,273
1996,0.7369,225
1997,0.709,186
1998,0.7096,233
1999,0.708,160
2000,0.6187,132
2001,0.6774,122
2002,0.6515,120
2003,0.7693,117
2004,0.6924,109
2005,0.7387,207
2006,0.7107,185
2007,0.7532,105
2008,0.659,130
2009,0.7051,103
2010,0.6771,32
