date,ordinality,count
1844,0.0,32
1845,0.0,49
1846,0.0,38
1847,0.0,46
1848,0.0,63
1849,0.0172,58
1850,0.0189,53
1851,0.0,64
1852,0.0,97
1853,0.0116,86
1854,0.0263,95
1855,0.0,94
1856,0.007,142
1857,0.0204,98
1858,0.0071,70
1859,0.0096,104
1860,0.027,111
1861,0.0345,87
1862,0.0,65
1863,0.0068,73
1864,0.0,103
1865,0.0111,90
1866,0.0,120
1867,0.0,106
1868,0.008,125
1869,0.0038,132
1870,0.0,138
1871,0.0088,151
1872,0.0093,121
1873,0.0,106
1874,0.0082,122
1875,0.0185,108
1876,0.0216,139
1877,0.009,111
1878,0.0222,135
1879,0.0317,126
1880,0.0068,148
1881,0.0,142
1882,0.0,144
1883,0.0196,153
1884,0.0056,180
1885,0.0134,149
1886,0.006,168
1887,0.0118,169
1888,0.0,167
1889,0.0298,168
1890,0.0,186
1891,0.0,171
1892,0.0089,168
1893,0.0105,190
1894,0.0059,170
1895,0.0,200
1896,0.0,199
1897,0.0094,213
1898,0.0049,205
1899,0.0,258
1900,0.011,227
1901,0.0048,208
1902,0.0044,227
1903,0.0045,224
1904,0.0,228
1905,0.0049,203
1906,0.0,235
1907,0.014,214
1908,0.0085,234
1909,0.0083,240
1910,0.0081,246
1911,0.004,253
1912,0.004,250
1913,0.0,268
1914,0.0104,240
1915,0.0043,235
1916,0.0084,237
1917,0.0088,228
1918,0.0,197
1919,0.0,236
1920,0.0037,269
1921,0.0,248
1922,0.0,243
1923,0.008,125
1924,0.0,120
1925,0.0,125
1926,0.0,161
1927,0.0,167
1928,0.0,166
1929,0.0,148
1930,0.0065,153
1931,0.0161,124
1932,0.0252,119
1933,0.0,98
1934,0.0192,104
1935,0.0,123
1936,0.0,146
1937,0.0036,140
1938,0.0,154
1939,0.0115,174
1940,0.007,143
1941,0.0261,115
1942,0.0,122
1943,0.0119,112
1944,0.0357,98
1945,0.0,100
1946,0.0,137
1947,0.0033,150
1948,0.0085,118
1949,0.0032,157
1950,0.0,136
1951,0.0081,124
1952,0.0112,134
1953,0.0,126
1954,0.0,115
1955,0.0074,135
1956,0.0113,133
1957,0.0,142
1958,0.0072,138
1959,0.0069,144
1960,0.0,152
1961,0.0,164
1962,0.0029,174
1963,0.0,187
1964,0.0,183
1965,0.0044,226
1966,0.0,197
1967,0.0039,258
1968,0.0036,277
1969,0.0096,311
1970,0.0115,262
1971,0.0,285
1972,0.0039,257
1973,0.0,266
1974,0.0042,238
1975,0.0046,219
1976,0.0,171
1977,0.0,217
1978,0.0,216
1979,0.0,218
1980,0.0,190
1981,0.0,220
1982,0.0,223
1983,0.0051,198
1984,0.0,186
1985,0.0,147
1986,0.0067,149
1987,0.0,179
1988,0.0,237
1989,0.0,190
1990,0.0,144
1991,0.0,98
1992,0.0,117
1993,0.0059,170
1994,0.0,281
1995,0.0,250
1996,0.0,174
1997,0.0058,172
1998,0.0,184
1999,0.0,122
2000,0.0,84
2001,0.0,79
2002,0.0,74
2003,0.013,77
2004,0.0,88
2005,0.0,193
2006,0.0,178
2007,0.0,78
2008,0.0077,130
2009,0.0,123
2010,0.0,43
