date,ordinality,count
1832,0.1111,36
1835,0.2188,32
1842,0.0714,42
1844,0.2121,33
1845,0.234,47
1846,0.3077,52
1847,0.1818,44
1848,0.1667,54
1849,0.0857,35
1850,0.15,60
1851,0.2113,71
1852,0.2075,53
1853,0.1587,63
1854,0.1618,68
1855,0.1905,84
1856,0.28,75
1857,0.1159,69
1858,0.2449,49
1859,0.1449,69
1860,0.1311,61
1861,0.0938,32
1862,0.1818,44
1863,0.1538,39
1865,0.0702,57
1866,0.1724,58
1867,0.0909,77
1868,0.1957,46
1869,0.1449,69
1870,0.3014,73
1871,0.125,56
1872,0.1143,35
1873,0.0556,54
1874,0.1017,59
1875,0.1711,76
1876,0.1912,68
1877,0.1857,70
1878,0.1695,59
1879,0.14,50
1880,0.1695,59
1881,0.1636,55
1882,0.1026,78
1883,0.2319,69
1884,0.2308,65
1885,0.2034,59
1886,0.1786,56
1887,0.1341,82
1888,0.163,92
1889,0.1169,77
1890,0.1489,94
1891,0.25,52
1892,0.2329,73
1893,0.2593,81
1894,0.1642,67
1895,0.165,103
1896,0.1321,106
1897,0.1899,79
1898,0.1398,93
1899,0.1474,95
1900,0.101,99
1901,0.1778,90
1902,0.1649,97
1903,0.1062,113
1904,0.2581,93
1905,0.2584,89
1906,0.1835,109
1907,0.1488,121
1908,0.2198,91
1909,0.2373,118
1910,0.1182,110
1911,0.1226,155
1912,0.1622,111
1913,0.1587,126
1914,0.2441,127
1915,0.2685,108
1916,0.1905,84
1917,0.1753,97
1918,0.1311,61
1919,0.2933,75
1920,0.1579,76
1921,0.1566,83
1922,0.2262,84
1923,0.2222,72
1924,0.2157,51
1925,0.1772,79
1926,0.2755,98
1927,0.2453,53
1928,0.2297,74
1929,0.1972,71
1930,0.2809,89
1931,0.1386,101
1932,0.2346,81
1933,0.2,65
1934,0.1224,49
1935,0.1296,54
1936,0.2561,82
1937,0.2,85
1938,0.2593,81
1939,0.2276,123
1940,0.2297,74
1941,0.3151,73
1942,0.2135,89
1943,0.0909,44
1944,0.175,40
1945,0.3111,45
1946,0.2826,92
1947,0.2151,93
1948,0.2651,83
1949,0.1616,99
1950,0.3375,80
1951,0.2549,102
1952,0.2073,82
1953,0.2604,96
1954,0.1546,97
1955,0.2157,102
1956,0.211,109
1957,0.2188,96
1958,0.1852,108
1959,0.1712,111
1960,0.2857,168
1961,0.1826,115
1962,0.2024,168
1963,0.2406,187
1964,0.3056,180
1965,0.335,206
1966,0.2078,154
1967,0.2579,190
1968,0.2722,180
1969,0.1916,167
1970,0.2246,187
1971,0.2585,205
1972,0.2769,195
1973,0.1989,176
1974,0.2078,154
1975,0.2303,165
1976,0.2642,159
1977,0.2734,128
1978,0.2529,261
1979,0.1975,162
1980,0.268,153
1981,0.271,214
1982,0.2647,204
1983,0.2609,207
1984,0.2789,190
1985,0.3372,172
1986,0.25,156
1987,0.2917,168
1988,0.3092,249
1989,0.2124,193
1990,0.2128,141
1991,0.3187,160
1992,0.2166,314
1993,0.2236,407
1994,0.2225,409
1995,0.2983,409
1996,0.2816,206
1997,0.2671,161
1998,0.367,188
1999,0.3028,142
2000,0.3503,157
2001,0.3217,115
2002,0.2752,109
2003,0.3028,109
2004,0.3151,73
2005,0.256,168
2006,0.2516,155
2007,0.3883,103
2008,0.2439,82
2009,0.3588,131
2010,0.2222,36
