date,ordinality,count
1878,0.9688,40
1879,0.9651,43
1880,0.8263,44
1881,0.9314,34
1900,0.9211,38
1902,0.7265,39
1903,0.8765,36
1907,0.8742,31
1909,0.8297,39
1911,0.9024,41
1912,0.8415,41
1913,0.8889,36
1914,0.8775,37
1915,0.6974,38
1916,0.7614,51
1917,0.8634,64
1918,0.8513,67
1919,0.844,66
1920,0.8752,86
1921,0.8673,71
1922,0.831,72
1923,0.9286,49
1924,0.8851,37
1926,0.9145,39
1927,0.7708,36
1928,0.8073,50
1929,0.8015,45
1930,0.8037,54
1931,0.9224,48
1932,0.774,48
1934,0.8448,42
1935,0.7981,44
1936,0.924,59
1937,0.8036,42
1938,0.7976,42
1939,0.8739,46
1941,0.8886,35
1942,0.7884,59
1943,0.8826,62
1944,0.8029,72
1945,0.7752,70
1946,0.7972,84
1947,0.8457,75
1948,0.805,67
1949,0.7167,41
1950,0.876,59
1951,0.8561,55
1952,0.791,59
1953,0.8333,66
1954,0.8151,62
1955,0.7024,63
1956,0.7766,69
1957,0.731,85
1958,0.7808,70
1959,0.7144,91
1960,0.8182,88
1961,0.7766,124
1962,0.8005,128
1963,0.7552,123
1964,0.7271,128
1965,0.717,122
1966,0.7205,141
1967,0.7792,161
1968,0.7523,165
1969,0.7319,172
1970,0.7601,170
1971,0.7045,165
1972,0.6907,125
1973,0.7703,149
1974,0.8013,132
1975,0.717,113
1976,0.792,111
1977,0.7823,126
1978,0.7898,128
1979,0.8092,97
1980,0.6776,99
1981,0.7575,124
1982,0.7833,123
1983,0.7281,115
1984,0.717,128
1985,0.7673,114
1986,0.6986,98
1987,0.801,164
1988,0.7626,136
1989,0.7596,105
1990,0.6713,67
1991,0.7937,61
1992,0.7289,107
1993,0.7495,173
1994,0.7376,202
1995,0.729,155
1996,0.7123,106
1997,0.7497,85
1998,0.7951,109
1999,0.6611,65
2000,0.6712,61
2001,0.7065,69
2002,0.6881,118
2003,0.7398,88
2004,0.7694,85
2005,0.7487,161
2006,0.729,141
2007,0.6979,81
2008,0.7599,108
2009,0.6886,67
2010,0.8953,43
