date,ordinality,count
1880,0.9512,41
1881,0.85,40
1889,0.9762,42
1890,1.0,42
1891,1.0,33
1892,1.0,47
1893,0.9756,41
1894,1.0,31
1895,0.9362,47
1896,1.0,35
1897,0.975,40
1898,0.975,40
1900,1.0,56
1901,0.9697,33
1902,1.0,36
1903,1.0,45
1904,1.0,44
1905,1.0,39
1907,0.9231,39
1908,1.0,49
1909,1.0,46
1910,1.0,52
1911,0.9722,36
1912,0.9808,52
1913,1.0,45
1914,1.0,56
1915,1.0,39
1916,1.0,41
1917,1.0,50
1918,0.9744,39
1919,1.0,45
1920,0.9804,51
1921,1.0,48
1922,1.0,78
1923,0.9545,44
1924,1.0,37
1926,0.9714,35
1927,0.9677,31
1928,1.0,41
1930,0.9773,44
1931,0.9667,30
1932,0.9697,33
1938,1.0,36
1939,0.9677,31
1945,0.9429,35
1947,1.0,33
1949,0.9744,39
1950,1.0,33
1951,0.975,40
1953,1.0,36
1954,1.0,40
1955,1.0,42
1956,1.0,47
1957,1.0,55
1958,1.0,44
1960,0.9828,58
1961,0.9444,54
1962,0.9857,70
1963,0.9811,53
1964,1.0,58
1965,1.0,49
1966,1.0,49
1967,0.9756,41
1968,1.0,56
1969,0.9846,65
1970,0.9792,48
1971,1.0,70
1972,1.0,64
1973,1.0,62
1974,0.9808,52
1975,1.0,66
1976,0.9859,71
1977,0.988,83
1978,1.0,100
1979,1.0,75
1980,1.0,89
1981,1.0,77
1982,0.9892,93
1983,0.9839,62
1984,0.9863,73
1985,0.9851,67
1986,0.9863,73
1987,1.0,76
1988,1.0,86
1989,1.0,81
1990,1.0,54
1991,0.9804,51
1992,1.0,77
1993,1.0,113
1994,1.0,138
1995,1.0,92
1996,0.9872,78
1997,1.0,47
1998,0.9859,71
1999,0.963,54
2000,1.0,41
2001,1.0,45
2002,0.9318,44
2003,1.0,36
2004,1.0,31
2005,1.0,65
2006,1.0,43
2008,1.0,38
