date,ordinality,count
1842,1.0,32
1859,1.0,46
1870,1.0,42
1871,1.0,37
1873,1.0,39
1874,1.0,32
1875,1.0,35
1877,0.9737,38
1879,1.0,49
1880,1.0,43
1881,0.9804,51
1882,1.0,54
1883,1.0,51
1884,1.0,73
1885,0.9636,55
1886,1.0,67
1887,0.9765,85
1888,1.0,72
1889,1.0,54
1890,1.0,59
1891,1.0,62
1892,0.9868,76
1893,1.0,74
1894,1.0,69
1895,0.9877,81
1896,1.0,60
1897,0.9836,61
1898,0.987,77
1899,1.0,64
1900,1.0,75
1901,1.0,77
1902,1.0,79
1903,1.0,159
1904,0.9891,92
1905,1.0,76
1906,1.0,103
1907,1.0,98
1908,0.9808,104
1909,0.992,125
1910,0.9897,97
1911,0.9922,128
1912,1.0,130
1913,1.0,145
1914,0.9932,146
1915,0.9919,123
1916,1.0,127
1917,1.0,107
1918,0.9918,122
1919,1.0,127
1920,0.9933,149
1921,1.0,122
1922,1.0,181
1923,1.0,87
1924,1.0,92
1925,1.0,79
1926,0.9882,85
1927,1.0,99
1928,1.0,109
1929,1.0,111
1930,1.0,116
1931,1.0,127
1932,1.0,97
1933,1.0,108
1934,1.0,100
1935,1.0,143
1936,1.0,125
1937,0.9905,105
1938,1.0,126
1939,1.0,129
1940,1.0,124
1941,1.0,139
1942,1.0,216
1943,1.0,141
1944,1.0,128
1945,1.0,143
1946,1.0,177
1947,1.0,206
1948,1.0,193
1949,1.0,194
1950,1.0,174
1951,0.9945,183
1952,1.0,301
1953,1.0,171
1954,0.9948,191
1955,1.0,228
1956,1.0,211
1957,1.0,197
1958,1.0,224
1959,1.0,293
1960,0.9959,244
1961,0.995,200
1962,0.9966,295
1963,1.0,264
1964,0.9888,267
1965,0.9894,283
1966,1.0,273
1967,1.0,309
1968,1.0,326
1969,0.9954,436
1970,1.0,452
1971,1.0,382
1972,1.0,320
1973,0.9937,319
1974,0.9977,432
1975,0.9974,379
1976,1.0,443
1977,0.9986,719
1978,0.9986,702
1979,1.0,528
1980,1.0,567
1981,1.0,656
1982,1.0,607
1983,0.998,499
1984,1.0,603
1985,0.9984,626
1986,0.996,495
1987,1.0,566
1988,0.998,505
1989,1.0,600
1990,0.9952,418
1991,1.0,342
1992,1.0,455
1993,0.999,1006
1994,1.0,943
1995,1.0,804
1996,1.0,522
1997,0.9929,425
1998,0.9978,461
1999,1.0,364
2000,0.9932,296
2001,0.9966,294
2002,1.0,293
2003,1.0,324
2004,1.0,291
2005,0.9977,434
2006,1.0,356
2007,1.0,209
2008,1.0,273
2009,0.9958,237
2010,1.0,121
2011,1.0,58
2012,1.0,64
