date,ordinality,count
1979,0.6325,35
1980,0.5601,31
1981,0.7042,51
1982,0.6333,85
1983,0.6924,95
1984,0.7147,79
1985,0.687,108
1986,0.6707,91
1987,0.7296,148
1988,0.7762,170
1989,0.7063,120
1990,0.7447,96
1991,0.5479,86
1992,0.6004,104
1993,0.6569,143
1994,0.6134,218
1995,0.5819,230
1996,0.6702,209
1997,0.6959,188
1998,0.6932,231
1999,0.7028,153
2000,0.6802,129
2001,0.6575,146
2002,0.6638,152
2003,0.7123,164
2004,0.6913,126
2005,0.7513,243
2006,0.719,238
2007,0.7458,107
2008,0.7857,177
2009,0.7897,124
2010,0.6894,55
2011,0.8363,34
