date,ordinality,count
1964,0.7647,34
1965,0.7568,37
1967,0.7412,38
1968,0.7444,45
1970,0.7057,47
1971,0.6515,33
1972,0.7396,48
1973,0.6905,42
1974,0.6492,51
1975,0.7773,55
1976,0.6508,42
1977,0.9087,42
1978,0.7351,56
1979,0.7872,47
1980,0.7196,59
1981,0.7643,60
1982,0.7296,49
1983,0.7875,80
1984,0.6424,44
1985,0.8455,55
1986,0.8293,41
1987,0.7117,50
1988,0.7731,72
1989,0.7932,54
1990,0.6447,38
1991,0.8333,44
1992,0.8073,48
1993,0.7596,61
1994,0.7085,90
1995,0.8296,83
1996,0.7562,54
1997,0.7438,54
1998,0.8275,57
1999,0.8333,42
2000,0.7656,32
2001,0.6842,38
2004,0.7059,34
2005,0.7766,37
2006,0.8182,33
