date,ordinality,count
1847,0.0,32
1848,0.0,34
1849,0.025,40
1851,0.0556,36
1853,0.0976,41
1854,0.1458,48
1855,0.0303,33
1856,0.1154,52
1857,0.0,32
1859,0.0678,59
1860,0.0962,52
1861,0.0,37
1862,0.1176,34
1863,0.0667,30
1864,0.0,62
1865,0.0769,39
1866,0.1136,44
1867,0.1136,44
1868,0.0392,51
1869,0.0213,47
1870,0.0968,62
1871,0.0,67
1872,0.0233,43
1873,0.0192,52
1874,0.0536,56
1875,0.0227,44
1876,0.0154,65
1877,0.0,60
1878,0.0333,60
1879,0.0267,75
1880,0.0,99
1881,0.0139,72
1882,0.0316,95
1883,0.0238,84
1884,0.019,105
1885,0.026,77
1886,0.0541,74
1887,0.037,81
1888,0.0225,89
1889,0.0,87
1890,0.013,77
1891,0.0526,76
1892,0.075,120
1893,0.0179,112
1894,0.0674,89
1895,0.0206,97
1896,0.0472,106
1897,0.0404,99
1898,0.0163,123
1899,0.0132,152
1900,0.0381,105
1901,0.0333,90
1902,0.0551,127
1903,0.056,125
1904,0.0,132
1905,0.0156,128
1906,0.0496,121
1907,0.0303,99
1908,0.02,100
1909,0.0236,127
1910,0.0303,132
1911,0.0339,118
1912,0.0207,145
1913,0.0308,130
1914,0.0648,108
1915,0.0619,97
1916,0.0261,115
1917,0.0481,104
1918,0.0357,112
1919,0.0187,107
1920,0.0382,131
1921,0.0,112
1922,0.0355,141
1923,0.029,69
1924,0.0353,85
1925,0.0328,61
1926,0.0787,89
1927,0.0319,94
1928,0.0375,80
1929,0.0122,82
1930,0.022,91
1931,0.0111,90
1932,0.0,91
1933,0.0,60
1934,0.0435,46
1935,0.026,77
1936,0.0278,72
1937,0.0417,96
1938,0.0685,73
1939,0.0123,81
1940,0.0241,83
1941,0.0328,61
1942,0.0,56
1943,0.0455,44
1944,0.0351,57
1945,0.0641,78
1946,0.0,75
1947,0.0,116
1948,0.0194,103
1949,0.0,98
1950,0.0091,110
1951,0.0102,98
1952,0.0412,97
1953,0.03,100
1954,0.028,107
1955,0.0096,104
1956,0.0,101
1957,0.0174,115
1958,0.0164,122
1959,0.0236,127
1960,0.0236,127
1961,0.0339,118
1962,0.0174,115
1963,0.0,123
1964,0.0081,123
1965,0.0083,120
1966,0.0316,158
1967,0.0132,152
1968,0.0136,147
1969,0.0294,136
1970,0.0462,130
1971,0.0296,135
1972,0.0142,141
1973,0.0229,131
1974,0.0089,112
1975,0.0087,115
1976,0.0,106
1977,0.0073,137
1978,0.0134,149
1979,0.0367,109
1980,0.0719,139
1981,0.0198,101
1982,0.0226,133
1983,0.0161,124
1984,0.0093,107
1985,0.0357,84
1986,0.0,64
1987,0.019,105
1988,0.0088,113
1989,0.0328,61
1990,0.0208,48
1991,0.0351,57
1992,0.0,60
1993,0.034,147
1994,0.018,167
1995,0.0254,118
1996,0.0755,53
1997,0.1,40
1998,0.093,43
1999,0.0698,43
2005,0.0263,38
2006,0.0698,43
2008,0.0,42
