date,ordinality,count
1828,0.0,43
1830,0.0,35
1831,0.0,35
1832,0.0,34
1834,0.0,38
1836,0.0,31
1838,0.0,31
1839,0.0,42
1840,0.0,36
1841,0.0,44
1844,0.0,39
1845,0.0,51
1846,0.0,50
1847,0.0,48
1848,0.0,46
1849,0.0,42
1850,0.0,73
1851,0.0,72
1852,0.0,70
1853,0.0,79
1854,0.0,65
1855,0.0,91
1856,0.0,91
1857,0.0,88
1858,0.0,38
1859,0.0,70
1860,0.0,70
1861,0.0,64
1862,0.0,36
1863,0.0,48
1864,0.0,57
1866,0.0,70
1867,0.0,43
1868,0.0,52
1869,0.0,68
1870,0.0,50
1871,0.0,52
1872,0.0,43
1873,0.0,60
1874,0.0,51
1875,0.0,44
1876,0.0,67
1877,0.0,42
1878,0.0,74
1879,0.0,66
1880,0.0133,75
1881,0.0,60
1882,0.0,56
1883,0.0,59
1884,0.0,68
1885,0.0,39
1886,0.0,51
1887,0.0,69
1888,0.0,63
1889,0.0,60
1890,0.0,83
1891,0.0,62
1892,0.0,65
1893,0.0,56
1894,0.0,59
1895,0.0,75
1896,0.0,77
1897,0.0,77
1898,0.0,90
1899,0.0,141
1900,0.0,84
1901,0.0,81
1902,0.0,73
1903,0.0,81
1904,0.0,93
1905,0.0,74
1906,0.0,65
1907,0.0,53
1908,0.0,64
1909,0.0,86
1910,0.0,64
1911,0.0,73
1912,0.0,72
1913,0.0,66
1914,0.0,59
1915,0.0,45
1916,0.0,47
1917,0.0,31
1918,0.0,31
1919,0.0,60
1920,0.0,47
1921,0.0,36
1922,0.0,53
1926,0.0,43
1927,0.0,30
1929,0.0,35
1930,0.0,37
1937,0.0,46
1947,0.0,37
1950,0.0,36
1959,0.0,33
1961,0.0,33
1962,0.0,34
1963,0.0,53
1965,0.0,34
1966,0.0,39
1967,0.0,48
1968,0.0,62
1969,0.0,80
1970,0.0,62
1971,0.0,67
1972,0.0,44
1973,0.0,45
1974,0.0,42
1975,0.0,30
1977,0.0,34
1987,0.0,33
1994,0.0,48
