date,ordinality,count
1907,0.7312,31
1913,0.6331,34
1914,0.4537,36
1915,0.5969,32
1919,0.6435,36
1920,0.6315,36
1921,0.5342,39
1922,0.4575,49
1927,0.6394,35
1937,0.6075,31
1956,0.5227,33
1960,0.6293,37
1962,0.6027,36
1963,0.7759,38
1964,0.5956,34
1968,0.6012,42
1969,0.6571,52
1970,0.7091,55
1971,0.5286,52
1972,0.5896,53
1973,0.6602,44
1974,0.6503,66
1975,0.583,44
1976,0.5582,51
1977,0.5412,66
1978,0.5754,51
1979,0.6919,69
1980,0.5986,61
1981,0.6733,69
1982,0.6734,67
1983,0.5636,84
1984,0.536,96
1985,0.4754,80
1986,0.581,94
1987,0.6325,98
1988,0.6352,90
1989,0.5824,90
1990,0.7291,78
1991,0.6468,67
1992,0.5992,69
1993,0.6679,42
1994,0.5917,70
1995,0.6267,74
1996,0.7038,56
1997,0.6169,56
1998,0.5444,80
1999,0.5979,79
2000,0.6388,67
2001,0.7132,56
2002,0.6123,53
2003,0.6545,68
2004,0.4886,61
2005,0.6989,52
2006,0.7606,55
2007,0.7474,36
2008,0.6038,31
2009,0.5349,35
