date,ordinality,count
1839,0.8387,31
1844,0.8485,33
1845,0.8532,37
1847,0.8275,33
1850,0.8095,51
1851,0.7968,57
1852,0.9027,49
1853,0.7336,39
1854,0.6719,44
1855,0.8229,35
1856,0.7405,56
1857,0.8403,40
1858,0.8871,31
1859,0.7927,41
1860,0.7863,34
1867,0.8529,34
1868,0.7944,36
1869,0.7782,35
1870,0.8217,44
1871,0.7014,31
1872,0.8122,41
1873,0.8036,32
1874,0.9161,33
1876,0.8213,35
1877,0.6798,35
1878,0.7917,34
1880,0.8483,43
1881,0.6882,36
1882,0.733,44
1883,0.6213,54
1884,0.7425,41
1885,0.7673,41
1886,0.751,50
1887,0.7218,34
1888,0.7405,42
1889,0.7379,51
1890,0.8353,37
1891,0.7978,49
1892,0.8227,81
1893,0.7958,76
1894,0.8113,52
1895,0.7623,61
1896,0.7415,41
1897,0.6796,49
1898,0.7534,78
1899,0.744,80
1900,0.6729,64
1901,0.6361,60
1902,0.7341,47
1903,0.7827,42
1904,0.8013,53
1905,0.8022,38
1906,0.7752,59
1907,0.6887,58
1908,0.6712,45
1909,0.7345,56
1910,0.6903,66
1911,0.8256,45
1912,0.6767,45
1913,0.7328,57
1914,0.787,54
1915,0.6826,31
1916,0.7395,38
1917,0.6912,34
1920,0.749,42
1921,0.6912,34
1922,0.6321,35
1961,0.7619,37
1962,0.7523,37
1963,0.6998,34
1964,0.6667,39
1965,0.744,42
1966,0.7721,59
1967,0.6912,50
1968,0.7768,58
1969,0.696,59
1970,0.7162,37
1971,0.8297,58
1972,0.8684,38
1973,0.7242,44
1974,0.7936,52
1975,0.5431,40
1978,0.7053,37
1983,0.619,35
1987,0.5667,31
1988,0.7634,32
1994,0.7593,38
1995,0.7818,43
2005,0.7835,33
