date,ordinality,count
1843,0.3667,30
1845,0.3548,31
1846,0.2353,34
1848,0.2927,41
1849,0.5938,32
1850,0.5135,37
1851,0.3421,38
1853,0.4634,41
1854,0.2647,34
1855,0.3333,45
1856,0.434,53
1857,0.3824,34
1859,0.3226,31
1860,0.4667,45
1868,0.35,40
1869,0.4474,38
1871,0.4118,34
1874,0.2,35
1876,0.4524,42
1877,0.4194,31
1878,0.381,84
1879,0.2609,46
1880,0.4286,56
1881,0.2593,54
1882,0.2778,36
1883,0.4528,53
1884,0.2439,41
1885,0.3235,34
1886,0.4318,44
1887,0.1818,44
1888,0.383,47
1889,0.2951,61
1890,0.4583,48
1891,0.3438,32
1892,0.5366,41
1893,0.48,50
1894,0.4839,31
1895,0.3929,56
1896,0.4098,61
1897,0.3115,61
1898,0.3137,51
1899,0.3649,74
1900,0.3556,45
1901,0.4048,42
1902,0.4,65
1903,0.3766,77
1904,0.3333,63
1905,0.3889,72
1906,0.2388,67
1907,0.4154,65
1908,0.2615,65
1909,0.4222,45
1910,0.3409,44
1911,0.2368,76
1912,0.4412,68
1913,0.1714,70
1914,0.4107,56
1915,0.3333,54
1916,0.3509,57
1917,0.3111,45
1918,0.3958,48
1919,0.4151,53
1920,0.3898,59
1921,0.386,57
1922,0.3043,69
1925,0.3095,42
1926,0.3725,51
1927,0.6667,30
1929,0.3438,32
1931,0.3143,35
1932,0.3143,35
1933,0.5897,39
1934,0.4286,35
1935,0.314,86
1936,0.375,40
1937,0.4545,44
1938,0.4,35
1940,0.45,40
1941,0.4314,51
1942,0.4444,36
1944,0.4412,34
1946,0.2647,34
1947,0.5263,38
1948,0.4,45
1949,0.4286,63
1950,0.4545,44
1952,0.4737,38
1953,0.55,40
1954,0.3833,60
1955,0.3784,37
1956,0.5116,43
1957,0.4634,41
1958,0.5714,49
1959,0.3333,36
1960,0.2642,53
1961,0.5167,60
1962,0.4507,71
1963,0.5333,75
1964,0.314,86
1965,0.5167,60
1966,0.4737,76
1967,0.4286,70
1968,0.4536,97
1969,0.4854,103
1970,0.3929,84
1971,0.488,125
1972,0.4167,84
1973,0.4796,98
1974,0.3973,73
1975,0.5072,69
1976,0.3947,76
1977,0.4098,122
1978,0.5275,91
1979,0.5,84
1980,0.4615,65
1981,0.4667,75
1982,0.4261,115
1983,0.3933,89
1984,0.4526,95
1985,0.4688,64
1986,0.4909,55
1987,0.4757,103
1988,0.4103,117
1989,0.4688,64
1990,0.3878,49
1991,0.6786,56
1992,0.4928,69
1993,0.4138,145
1994,0.475,120
1995,0.4561,114
1996,0.5085,59
1997,0.5532,47
1998,0.4167,60
1999,0.4706,51
2000,0.2041,49
2002,0.4054,37
2004,0.4242,33
2005,0.3333,51
2006,0.3958,48
2008,0.3962,53
