date,ordinality,count
1971,0.2805,41
1972,0.3778,45
1973,0.4222,45
1974,0.4659,44
1975,0.5098,51
1976,0.5096,52
1977,0.4,45
1978,0.3902,41
1979,0.3636,55
1980,0.4727,55
1981,0.5,54
1982,0.4085,71
1983,0.4531,64
1984,0.4327,52
1985,0.5476,42
1986,0.46,50
1987,0.46,50
1988,0.5494,81
1989,0.5022,75
1990,0.4474,38
1991,0.4898,49
1992,0.4878,41
1993,0.4531,64
1994,0.3883,94
1995,0.4029,91
1996,0.5735,68
1997,0.5385,65
1998,0.5,54
1999,0.4737,38
2000,0.4744,39
2001,0.5,33
2003,0.6875,32
2004,0.5204,49
2005,0.5045,56
2006,0.5351,57
2008,0.4375,40
