date,ordinality,count
1825,0.7546,36
1826,0.7883,37
1827,0.7644,38
1828,0.8192,40
1829,0.9091,33
1830,0.7468,52
1831,0.8,40
1832,0.7424,88
1833,0.8638,71
1834,0.6717,66
1835,0.6472,94
1836,0.6985,66
1837,0.7466,73
1838,0.7352,81
1839,0.6653,80
1840,0.6671,56
1841,0.7614,88
1842,0.83,67
1843,0.7576,69
1844,0.7209,83
1845,0.8014,120
1846,0.7214,115
1847,0.7342,129
1848,0.6965,130
1849,0.7315,101
1850,0.7647,136
1851,0.7632,125
1852,0.7922,158
1853,0.7721,141
1854,0.6909,162
1855,0.7455,129
1856,0.6965,151
1857,0.6764,137
1858,0.759,83
1859,0.7496,137
1860,0.6993,120
1861,0.7492,103
1862,0.6539,72
1863,0.651,64
1864,0.7024,70
1865,0.6884,79
1866,0.6253,102
1867,0.7706,109
1868,0.6316,95
1869,0.6999,96
1870,0.7,116
1871,0.7675,124
1872,0.6934,103
1873,0.8114,85
1874,0.728,87
1875,0.6877,92
1876,0.6352,115
1877,0.676,75
1878,0.6879,59
1879,0.8102,72
1880,0.7309,83
1881,0.7557,88
1882,0.75,98
1883,0.7176,91
1884,0.6798,114
1885,0.8428,88
1886,0.8293,99
1887,0.755,83
1888,0.8101,116
1889,0.7802,86
1890,0.7872,81
1891,0.7025,100
1892,0.7151,95
1893,0.692,79
1894,0.6726,101
1895,0.7279,105
1896,0.649,66
1897,0.6817,100
1898,0.6667,89
1899,0.6247,124
1900,0.7567,100
1901,0.7509,89
1902,0.7477,107
1903,0.7201,106
1904,0.6857,73
1905,0.75,88
1906,0.6556,105
1907,0.7203,87
1908,0.7673,92
1909,0.7772,104
1910,0.7644,90
1911,0.6588,79
1912,0.761,106
1913,0.7923,105
1914,0.7276,96
1915,0.772,87
1916,0.7074,99
1917,0.7151,62
1918,0.8085,67
1919,0.8036,64
1920,0.6316,76
1921,0.6841,67
1922,0.7535,71
1923,0.7248,43
1924,0.7312,40
1925,0.8191,47
1926,0.7804,42
1927,0.7685,55
1928,0.7524,53
1929,0.7692,39
1930,0.8187,40
1931,0.7434,38
1932,0.5758,33
1933,0.6437,36
1935,0.6275,40
1936,0.6978,39
1937,0.813,41
1938,0.7262,42
1939,0.7317,41
1940,0.7157,34
1941,0.7568,37
1942,0.7286,35
1946,0.828,31
1947,0.8395,45
1948,0.8788,33
1950,0.6585,41
1951,0.7692,39
1952,0.6839,31
1954,0.7273,33
1955,0.6685,31
1956,0.7812,32
1957,0.8889,36
1958,0.7312,40
1959,0.7351,38
1960,0.7872,47
1961,0.7719,37
1962,0.7778,45
1963,0.692,51
1964,0.6585,41
1965,0.7678,45
1966,0.7546,62
1967,0.6245,79
1968,0.6699,87
1969,0.7319,127
1970,0.7439,93
1971,0.6482,95
1972,0.7093,86
1973,0.6161,61
1974,0.6741,63
1975,0.8244,45
1976,0.8182,44
1977,0.7619,42
1978,0.7455,55
1979,0.7838,37
1980,0.7145,47
1981,0.7819,47
1982,0.6289,45
1983,0.7189,37
1984,0.7991,37
1985,0.5976,41
1986,0.6571,35
1987,0.734,47
1988,0.7,38
1989,0.6452,31
1993,0.6785,41
1994,0.6122,49
1995,0.6316,38
1996,0.7354,31
1998,0.7,40
1999,0.4343,33
2006,0.6344,31
