date,ordinality,count
1887,0.1636,33
1889,0.0882,33
1890,0.1068,32
1893,0.1458,40
1894,0.0573,32
1895,0.2245,43
1896,0.11,35
1898,0.1125,42
1899,0.1197,47
1900,0.1218,45
1901,0.0728,45
1902,0.1763,33
1903,0.0808,47
1904,0.1186,39
1905,0.0698,37
1906,0.1224,41
1907,0.1722,55
1908,0.1789,42
1909,0.1402,41
1911,0.0526,42
1912,0.0922,47
1913,0.0726,46
1914,0.1122,55
1915,0.1424,42
1916,0.0491,45
1917,0.0897,50
1919,0.1406,46
1920,0.0803,57
1921,0.0379,55
1922,0.1868,58
1947,0.0338,37
1948,0.0323,31
1949,0.0829,50
1950,0.0669,33
1951,0.0784,34
1952,0.0968,31
1954,0.0811,37
1955,0.0405,35
1956,0.0645,50
1958,0.0704,42
1959,0.0761,46
1960,0.1314,39
1961,0.1063,58
1962,0.0673,52
1963,0.0272,53
1964,0.1627,42
1965,0.2157,50
1966,0.1481,54
1967,0.0731,46
1968,0.1022,71
1969,0.1331,68
1970,0.138,69
1971,0.1134,61
1972,0.1054,62
1973,0.0761,71
1974,0.0438,92
1975,0.0358,135
1976,0.0468,110
1977,0.0831,160
1978,0.0951,144
1979,0.0902,156
1980,0.0629,129
1981,0.1088,160
1982,0.1214,197
1983,0.0618,212
1984,0.08,190
1985,0.0244,117
1986,0.073,80
1987,0.0435,126
1988,0.0477,197
1989,0.079,153
1990,0.0618,115
1991,0.04,50
1992,0.0523,58
1993,0.0551,115
1994,0.0755,237
1995,0.0607,239
1996,0.0641,194
1997,0.0595,69
1998,0.0784,105
1999,0.0864,97
2000,0.0651,43
2001,0.0848,57
2002,0.0543,46
2003,0.1583,32
2004,0.0267,54
2005,0.0609,79
2006,0.0717,107
2007,0.0451,34
2008,0.0429,35
2009,0.1579,38
