date,ordinality,count
1889,0.0,31
1892,0.0,33
1897,0.0,32
1899,0.0,35
1900,0.0,35
1903,0.0,36
1905,0.0,34
1906,0.0,33
1907,0.0,38
1908,0.0,31
1909,0.0,36
1912,0.0,36
1914,0.0,36
1920,0.0,37
1922,0.0,37
1949,0.0,33
1953,0.0,41
1956,0.0,32
1958,0.0,34
1959,0.0,36
1960,0.0,47
1961,0.0,40
1962,0.0,43
1963,0.0,45
1964,0.0,47
1965,0.0,57
1966,0.0,42
1967,0.0,46
1968,0.0,62
1969,0.0,38
1970,0.0,48
1971,0.0,39
1972,0.0,47
1973,0.0,60
1974,0.0,40
1975,0.0,49
1976,0.0,33
1977,0.0,45
1978,0.0,51
1979,0.0,39
1980,0.0,50
1981,0.0,49
1982,0.0,51
1983,0.0,41
1984,0.0,57
1986,0.0,45
1987,0.0,55
1988,0.0,50
1989,0.0,45
1990,0.0,36
1992,0.0,37
1993,0.0,51
1994,0.0,62
1995,0.0,52
1996,0.0,49
1997,0.0,39
1998,0.0,42
2005,0.0,35
2006,0.0,33
2008,0.0,34
