date,ordinality,count
1879,0.9688,32
1903,0.8372,43
1905,0.875,32
1909,0.7353,34
1911,0.8333,34
1912,0.8226,31
1913,0.7748,37
1914,0.7941,34
1915,0.7576,44
1916,0.7368,38
1918,0.5714,35
1922,0.75,40
1951,0.9032,31
1952,0.75,32
1960,0.7436,39
1962,0.8889,36
1963,0.7045,44
1965,0.7429,35
1966,0.7973,37
1968,0.7778,45
1970,0.7179,39
1971,0.625,32
1972,0.6842,38
1973,0.7742,31
1974,0.7259,45
1978,0.7895,38
1979,0.7297,37
1981,0.6452,31
1983,0.7353,34
1984,0.7258,31
1987,0.7692,39
1988,0.7262,42
1989,0.675,40
1990,0.7419,31
1993,0.625,40
1994,0.7568,37
1995,0.7233,50
2005,0.8387,31
