date,ordinality,count
1832,0.4688,32
1835,0.425,32
1838,0.3542,32
1839,0.5278,36
1840,0.3871,31
1841,0.4714,35
1843,0.386,38
1844,0.6029,34
1845,0.4704,45
1846,0.377,42
1847,0.3017,58
1848,0.3939,44
1849,0.4342,38
1850,0.3796,54
1851,0.4462,62
1852,0.4242,65
1853,0.4295,50
1854,0.4121,55
1855,0.4652,46
1856,0.2922,73
1857,0.4846,54
1859,0.2764,41
1860,0.451,51
1861,0.5965,38
1863,0.4409,31
1864,0.5139,36
1865,0.5139,36
1866,0.4595,37
1867,0.5,38
1868,0.4333,45
1869,0.3784,37
1870,0.4625,40
1871,0.4054,37
1872,0.3125,40
1874,0.5714,35
1875,0.563,41
1876,0.3509,38
1879,0.442,32
1880,0.3902,41
1882,0.5052,32
1883,0.4412,34
1884,0.4204,45
1886,0.3784,37
1887,0.5058,43
1889,0.551,49
1890,0.3261,46
1891,0.375,40
1892,0.5,38
1893,0.3971,34
1894,0.3784,37
1895,0.3725,51
1897,0.5,45
1898,0.3409,44
1899,0.6404,57
1900,0.4103,39
1901,0.463,54
1902,0.5482,38
1903,0.4,40
1904,0.3,41
1905,0.4186,43
1906,0.3913,46
1907,0.5143,35
1908,0.5312,32
1909,0.3874,37
1910,0.4302,43
1911,0.3523,44
1912,0.3488,43
1913,0.5476,42
1915,0.3246,38
1916,0.2952,35
1917,0.3934,39
1919,0.5726,31
1920,0.2238,35
1922,0.5441,34
1937,0.3387,31
1947,0.3906,32
1948,0.3333,36
1949,0.3804,46
1950,0.3819,48
1951,0.3581,37
1952,0.3947,38
1953,0.34,50
1954,0.3673,49
1955,0.4544,57
1956,0.4479,48
1957,0.3386,54
1958,0.4519,52
1959,0.3308,66
1960,0.3618,76
1961,0.381,69
1962,0.4288,89
1963,0.3411,73
1964,0.4719,77
1965,0.4042,96
1966,0.3621,110
1967,0.3536,102
1968,0.3277,119
1969,0.3671,126
1970,0.343,129
1971,0.3806,155
1972,0.3998,153
1973,0.3441,147
1974,0.3431,153
1975,0.2541,122
1976,0.3036,115
1977,0.3467,137
1978,0.3537,147
1979,0.3742,159
1980,0.3079,151
1981,0.2751,219
1982,0.3592,190
1983,0.2686,175
1984,0.3017,200
1985,0.239,167
1986,0.2829,153
1987,0.3376,212
1988,0.3202,250
1989,0.3311,201
1990,0.2673,130
1991,0.2553,126
1992,0.2949,138
1993,0.3631,208
1994,0.2587,281
1995,0.2963,304
1996,0.3146,254
1997,0.304,181
1998,0.2912,228
1999,0.2429,109
2000,0.2419,109
2001,0.2597,104
2002,0.2216,135
2003,0.2299,107
2004,0.2205,134
2005,0.3142,204
2006,0.273,186
2007,0.3414,113
2008,0.3356,139
2009,0.2876,113
2010,0.3208,53
