date,ordinality,count
1800,0.6406,128
1801,0.735,117
1802,0.7,80
1803,0.65,80
1804,0.7234,47
1805,0.7692,130
1806,0.6906,139
1807,0.5842,101
1808,0.6698,106
1809,0.6333,60
1810,0.7903,186
1811,0.7055,146
1812,0.7619,147
1813,0.637,135
1814,0.733,176
1815,0.53,100
1816,0.5594,143
1817,0.72,100
1818,0.6603,156
1819,0.6235,170
1820,0.602,196
1821,0.5776,161
1822,0.5918,147
1823,0.5973,149
1824,0.5034,145
1825,0.5593,177
1826,0.6389,180
1827,0.6243,181
1828,0.6722,180
1829,0.5829,187
1830,0.6486,276
1831,0.7233,347
1832,0.6375,309
1833,0.5614,285
1834,0.6504,409
1835,0.6412,354
1836,0.5865,341
1837,0.5697,337
1838,0.5583,360
1839,0.5845,491
1840,0.5882,425
1841,0.5201,398
1842,0.6134,463
1843,0.625,416
1844,0.5168,505
1845,0.5978,634
1846,0.5668,554
1847,0.5722,699
1848,0.5483,704
1849,0.599,975
1850,0.5371,929
1851,0.6116,1205
1852,0.5735,1048
1853,0.5208,1634
1854,0.5288,1093
1855,0.6034,948
1856,0.6022,1287
1857,0.5548,1177
1858,0.5665,699
1859,0.6248,1138
1860,0.5627,1093
1861,0.6474,987
1862,0.648,696
1863,0.6162,714
1864,0.6315,1053
1865,0.5228,746
1866,0.6034,1306
1867,0.6533,1367
1868,0.5937,1425
1869,0.5656,1243
1870,0.5855,1672
1871,0.6359,1549
1872,0.6976,1908
1873,0.613,1478
1874,0.5875,1275
1875,0.6042,1713
1876,0.6254,1511
1877,0.6725,1646
1878,0.6056,1511
1879,0.5965,1663
1880,0.6047,1920
1881,0.6145,1969
1882,0.6337,1990
1883,0.6137,2154
1884,0.6555,2148
1885,0.5279,2063
1886,0.6474,1985
1887,0.5923,1928
1888,0.6918,2482
1889,0.6216,2381
1890,0.6339,2065
1891,0.5923,3120
1892,0.7063,2397
1893,0.6599,2693
1894,0.6357,2399
1895,0.7027,3105
1896,0.6116,2997
1897,0.6973,3515
1898,0.6384,2619
1899,0.6614,3269
1900,0.6167,3086
1901,0.6185,3460
1902,0.6675,3245
1903,0.6662,3448
1904,0.6209,2841
1905,0.6763,3352
1906,0.6478,3399
1907,0.6836,4213
1908,0.6645,4093
1909,0.7191,4436
1910,0.6979,4062
1911,0.6002,4440
1912,0.6609,5054
1913,0.6815,4766
1914,0.6894,4917
1915,0.7173,5710
1916,0.677,4725
1917,0.7214,4806
1918,0.6795,4162
1919,0.7075,5001
1920,0.6988,4755
1921,0.7298,4774
1922,0.6659,4819
1923,0.6734,2428
1924,0.7073,3171
1925,0.6237,2195
1926,0.6429,2016
1927,0.6623,2351
1928,0.6556,2805
1929,0.6986,3096
1930,0.653,3029
1931,0.7573,3399
1932,0.6688,2941
1933,0.6672,2569
1934,0.658,2295
1935,0.8325,6095
1936,0.6178,2389
1937,0.6039,2767
1938,0.6931,3343
1939,0.6698,3222
1940,0.6128,2934
1941,0.6454,2868
1942,0.6376,2577
1943,0.6658,2253
1944,0.6679,2340
1945,0.7439,3335
1946,0.6186,2973
1947,0.5353,2985
1948,0.6298,3023
1949,0.6415,3305
1950,0.6467,3207
1951,0.652,2859
1952,0.6661,3267
1953,0.6436,2750
1954,0.6447,3290
1955,0.6153,3252
1956,0.6713,3489
1957,0.6074,3232
1958,0.5863,3193
1959,0.6629,4117
1960,0.6184,3354
1961,0.6404,3824
1962,0.6075,3819
1963,0.5574,4112
1964,0.5618,3777
1965,0.5337,4017
1966,0.5702,4290
1967,0.5848,4858
1968,0.5928,5486
1969,0.5703,5455
1970,0.5591,5657
1971,0.5703,5471
1972,0.5321,5905
1973,0.5628,5384
1974,0.5452,5580
1975,0.621,5857
1976,0.6017,5282
1977,0.575,6052
1978,0.5854,6433
1979,0.5723,5324
1980,0.6398,6188
1981,0.6119,6171
1982,0.5975,6045
1983,0.6333,6243
1984,0.5715,4926
1985,0.6113,4307
1986,0.5944,4359
1987,0.5441,5697
1988,0.5528,6026
1989,0.5312,5235
1990,0.5688,3952
1991,0.5864,4134
1992,0.5411,6433
1993,0.5431,11085
1994,0.4691,12702
1995,0.5001,8643
1996,0.5152,5256
1997,0.5585,4417
1998,0.5021,4744
1999,0.6114,3495
2000,0.576,2587
2001,0.6592,3257
2002,0.5908,3424
2003,0.4824,2811
2004,0.5684,3684
2005,0.4803,4822
2006,0.4619,4585
2007,0.5448,2177
2008,0.4845,3251
2009,0.4607,2618
2010,0.4996,1185
2011,0.5416,613
2012,0.5146,377
2013,0.7135,384
2014,0.4758,248
2015,0.4941,85
2016,0.4615,78
2017,0.5091,55
