date,ordinality,count
1833,0.6371,31
1834,0.2484,31
1839,0.3713,34
1845,0.4309,47
1846,0.5148,45
1847,0.3542,36
1848,0.464,37
1849,0.4685,45
1850,0.5409,57
1851,0.5099,42
1852,0.5621,55
1853,0.4528,53
1854,0.5676,52
1855,0.4516,47
1856,0.5965,44
1857,0.4401,48
1859,0.5747,55
1860,0.5111,45
1861,0.641,39
1865,0.7059,34
1866,0.6144,33
1868,0.5442,33
1870,0.6,38
1871,0.3438,32
1872,0.6125,36
1874,0.5645,31
1875,0.6762,35
1876,0.6069,36
1879,0.5983,39
1880,0.4912,38
1881,0.5476,42
1882,0.7111,45
1883,0.5025,49
1884,0.6786,42
1885,0.5623,31
1886,0.4518,47
1887,0.6204,36
1888,0.5819,42
1889,0.7468,42
1890,0.6408,46
1891,0.6669,46
1892,0.3889,42
1893,0.4444,36
1894,0.5,44
1895,0.6518,41
1896,0.5295,35
1898,0.4735,44
1899,0.5525,62
1900,0.4589,55
1901,0.7649,48
1902,0.6132,53
1903,0.6108,57
1904,0.4961,43
1905,0.5089,44
1906,0.5636,55
1907,0.4484,47
1908,0.6261,37
1909,0.5924,47
1910,0.5561,49
1911,0.4339,46
1912,0.6645,47
1913,0.5926,36
1914,0.6149,46
1915,0.6429,38
1916,0.6795,39
1917,0.4944,42
1918,0.6562,32
1920,0.6667,36
1921,0.6042,40
1922,0.4375,32
1952,0.5208,32
1953,0.5294,34
1959,0.3923,36
1960,0.4451,41
1961,0.3938,40
1962,0.4781,61
1963,0.4069,51
1964,0.6199,45
1965,0.6048,62
1966,0.4044,55
1967,0.5434,55
1968,0.5357,56
1969,0.525,90
1970,0.5764,72
1971,0.526,77
1972,0.5,52
1973,0.4383,52
1974,0.7432,37
1975,0.5377,36
1978,0.6591,44
1979,0.5109,46
1981,0.4143,35
1982,0.4261,42
1983,0.4886,44
1984,0.375,36
1985,0.4857,35
1987,0.4881,42
1988,0.5694,48
1989,0.527,37
1992,0.3897,34
1993,0.4652,54
1994,0.4369,66
1995,0.3273,55
1996,0.5725,56
1997,0.3935,36
1998,0.5159,54
1999,0.4946,31
2005,0.5094,53
2006,0.5557,38
2008,0.625,32
2009,0.5547,32
